 row  golden      hw     gold(dec)       hw(dec)      rel%
------------------------------------------------------------
   0    4607    4607     8640.0000     8640.0000    0.000%
   1    45FB    45FB     8032.0000     8032.0000    0.000%
   2    4606    4606     8576.0000     8576.0000    0.000%
   3    4607    4607     8640.0000     8640.0000    0.000%
   4    4607    4607     8640.0000     8640.0000    0.000%
   5    4601    4601     8256.0000     8256.0000    0.000%
   6    45FF    45FF     8160.0000     8160.0000    0.000%
   7    4605    4605     8512.0000     8512.0000    0.000%
   8    45FE    45FE     8128.0000     8128.0000    0.000%
   9    4602    4602     8320.0000     8320.0000    0.000%
  10    4604    4604     8448.0000     8448.0000    0.000%
  11    4602    4602     8320.0000     8320.0000    0.000%
  12    45FE    45FE     8128.0000     8128.0000    0.000%
  13    4601    4601     8256.0000     8256.0000    0.000%
  14    4607    4607     8640.0000     8640.0000    0.000%
  15    4606    4606     8576.0000     8576.0000    0.000%
  16    4604    4604     8448.0000     8448.0000    0.000%
  17    4602    4602     8320.0000     8320.0000    0.000%
  18    4604    4604     8448.0000     8448.0000    0.000%
  19    4603    4603     8384.0000     8384.0000    0.000%
  20    45FE    45FE     8128.0000     8128.0000    0.000%
  21    4608    4608     8704.0000     8704.0000    0.000%
  22    4600    4600     8192.0000     8192.0000    0.000%
  23    4601    4601     8256.0000     8256.0000    0.000%
  24    4601    4601     8256.0000     8256.0000    0.000%
  25    4603    4603     8384.0000     8384.0000    0.000%
  26    4604    4604     8448.0000     8448.0000    0.000%
  27    4607    4607     8640.0000     8640.0000    0.000%
  28    45FA    45FA     8000.0000     8000.0000    0.000%
  29    45FE    45FE     8128.0000     8128.0000    0.000%
  30    4604    4604     8448.0000     8448.0000    0.000%
  31    4602    4602     8320.0000     8320.0000    0.000%
  32    45F5    45F5     7840.0000     7840.0000    0.000%
  33    4601    4601     8256.0000     8256.0000    0.000%
  34    4600    4600     8192.0000     8192.0000    0.000%
  35    4600    4600     8192.0000     8192.0000    0.000%
  36    4604    4604     8448.0000     8448.0000    0.000%
  37    4602    4602     8320.0000     8320.0000    0.000%
  38    4602    4602     8320.0000     8320.0000    0.000%
  39    4602    4602     8320.0000     8320.0000    0.000%
  40    45FD    45FD     8096.0000     8096.0000    0.000%
  41    45F2    45F2     7744.0000     7744.0000    0.000%
  42    4603    4603     8384.0000     8384.0000    0.000%
  43    45FE    45FE     8128.0000     8128.0000    0.000%
  44    4606    4606     8576.0000     8576.0000    0.000%
  45    45F8    45F8     7936.0000     7936.0000    0.000%
  46    4609    4609     8768.0000     8768.0000    0.000%
  47    4608    4608     8704.0000     8704.0000    0.000%
  48    4602    4602     8320.0000     8320.0000    0.000%
  49    45FC    45FC     8064.0000     8064.0000    0.000%
  50    4601    4601     8256.0000     8256.0000    0.000%
  51    4608    4608     8704.0000     8704.0000    0.000%
  52    4602    4602     8320.0000     8320.0000    0.000%
  53    4601    4601     8256.0000     8256.0000    0.000%
  54    45F7    45F7     7904.0000     7904.0000    0.000%
  55    4602    4602     8320.0000     8320.0000    0.000%
  56    4609    4609     8768.0000     8768.0000    0.000%
  57    4602    4602     8320.0000     8320.0000    0.000%
  58    4604    4604     8448.0000     8448.0000    0.000%
  59    4606    4606     8576.0000     8576.0000    0.000%
  60    4606    4606     8576.0000     8576.0000    0.000%
  61    4606    4606     8576.0000     8576.0000    0.000%
  62    4606    4606     8576.0000     8576.0000    0.000%
  63    4604    4604     8448.0000     8448.0000    0.000%
  64    4606    4606     8576.0000     8576.0000    0.000%
  65    4603    4603     8384.0000     8384.0000    0.000%
  66    4600    4600     8192.0000     8192.0000    0.000%
  67    4607    4607     8640.0000     8640.0000    0.000%
  68    4602    4602     8320.0000     8320.0000    0.000%
  69    4602    4602     8320.0000     8320.0000    0.000%
  70    4606    4606     8576.0000     8576.0000    0.000%
  71    4600    4600     8192.0000     8192.0000    0.000%
  72    4605    4605     8512.0000     8512.0000    0.000%
  73    4603    4603     8384.0000     8384.0000    0.000%
  74    4606    4606     8576.0000     8576.0000    0.000%
  75    4605    4605     8512.0000     8512.0000    0.000%
  76    45F6    45F6     7872.0000     7872.0000    0.000%
  77    4602    4602     8320.0000     8320.0000    0.000%
  78    45FF    45FF     8160.0000     8160.0000    0.000%
  79    45FE    45FE     8128.0000     8128.0000    0.000%
  80    4602    4602     8320.0000     8320.0000    0.000%
  81    45FF    45FF     8160.0000     8160.0000    0.000%
  82    4603    4603     8384.0000     8384.0000    0.000%
  83    4605    4605     8512.0000     8512.0000    0.000%
  84    4605    4605     8512.0000     8512.0000    0.000%
  85    4604    4604     8448.0000     8448.0000    0.000%
  86    45FF    45FF     8160.0000     8160.0000    0.000%
  87    4602    4602     8320.0000     8320.0000    0.000%
  88    4600    4600     8192.0000     8192.0000    0.000%
  89    4602    4602     8320.0000     8320.0000    0.000%
  90    45FF    45FF     8160.0000     8160.0000    0.000%
  91    4609    4609     8768.0000     8768.0000    0.000%
  92    4602    4602     8320.0000     8320.0000    0.000%
  93    4602    4602     8320.0000     8320.0000    0.000%
  94    4602    4602     8320.0000     8320.0000    0.000%
  95    4606    4606     8576.0000     8576.0000    0.000%
  96    45FA    45FA     8000.0000     8000.0000    0.000%
  97    4603    4603     8384.0000     8384.0000    0.000%
  98    4609    4609     8768.0000     8768.0000    0.000%
  99    4601    4601     8256.0000     8256.0000    0.000%
 100    4601    4601     8256.0000     8256.0000    0.000%
 101    45F2    45F2     7744.0000     7744.0000    0.000%
 102    45F8    45F8     7936.0000     7936.0000    0.000%
 103    4602    4602     8320.0000     8320.0000    0.000%
 104    4602    4602     8320.0000     8320.0000    0.000%
 105    4602    4602     8320.0000     8320.0000    0.000%
 106    4602    4602     8320.0000     8320.0000    0.000%
 107    45FC    45FC     8064.0000     8064.0000    0.000%
 108    4600    4600     8192.0000     8192.0000    0.000%
 109    45F8    45F8     7936.0000     7936.0000    0.000%
 110    4605    4605     8512.0000     8512.0000    0.000%
 111    45EA    45EA     7488.0000     7488.0000    0.000%
 112    45F7    45F7     7904.0000     7904.0000    0.000%
 113    45FB    45FB     8032.0000     8032.0000    0.000%
 114    4608    4608     8704.0000     8704.0000    0.000%
 115    4602    4602     8320.0000     8320.0000    0.000%
 116    4601    4601     8256.0000     8256.0000    0.000%
 117    45FF    45FF     8160.0000     8160.0000    0.000%
 118    45FC    45FC     8064.0000     8064.0000    0.000%
 119    4604    4604     8448.0000     8448.0000    0.000%
 120    4606    4606     8576.0000     8576.0000    0.000%
 121    45F4    45F4     7808.0000     7808.0000    0.000%
 122    4601    4601     8256.0000     8256.0000    0.000%
 123    4606    4606     8576.0000     8576.0000    0.000%
 124    4605    4605     8512.0000     8512.0000    0.000%
 125    4601    4601     8256.0000     8256.0000    0.000%
 126    4603    4603     8384.0000     8384.0000    0.000%
 127    45FB    45FB     8032.0000     8032.0000    0.000%
 128    4604    4604     8448.0000     8448.0000    0.000%
 129    4609    4609     8768.0000     8768.0000    0.000%
 130    45FE    45FE     8128.0000     8128.0000    0.000%
 131    45FF    45FF     8160.0000     8160.0000    0.000%
