       SW (dec)         HW (dec)        |SW - HW|   Rel. error (%)
--------------------------------------------------------------------
      18.000000        18.000000         0.000000          0.0000%
      22.625000        22.750000         0.125000          0.5525%
      19.250000        19.250000         0.000000          0.0000%
      20.750000        20.750000         0.000000          0.0000%
      24.000000        24.000000         0.000000          0.0000%
      22.375000        22.375000         0.000000          0.0000%
      17.625000        17.750000         0.125000          0.7092%
      18.625000        18.750000         0.125000          0.6711%
      18.000000        18.000000         0.000000          0.0000%
      20.000000        20.000000         0.000000          0.0000%
      20.750000        20.750000         0.000000          0.0000%
      23.375000        23.375000         0.000000          0.0000%
      20.000000        20.000000         0.000000          0.0000%
      17.750000        17.750000         0.000000          0.0000%
      24.250000        24.250000         0.000000          0.0000%
      19.250000        19.375000         0.125000          0.6494%
      19.000000        19.000000         0.000000          0.0000%
      21.625000        21.625000         0.000000          0.0000%
      24.000000        24.000000         0.000000          0.0000%
      25.375000        25.375000         0.000000          0.0000%
      22.000000        22.000000         0.000000          0.0000%
      21.375000        21.375000         0.000000          0.0000%
      15.875000        15.875000         0.000000          0.0000%
      17.250000        17.250000         0.000000          0.0000%
      20.125000        20.250000         0.125000          0.6211%
      25.125000        25.250000         0.125000          0.4975%
      21.125000        21.125000         0.000000          0.0000%
      15.000000        15.000000         0.000000          0.0000%
      21.750000        21.750000         0.000000          0.0000%
      23.625000        23.500000         0.125000          0.5291%
      28.250000        28.375000         0.125000          0.4425%
      16.625000        16.625000         0.000000          0.0000%
      17.000000        17.125000         0.125000          0.7353%
      16.500000        16.500000         0.000000          0.0000%
      19.250000        19.250000         0.000000          0.0000%
      16.750000        16.750000         0.000000          0.0000%
      19.125000        19.125000         0.000000          0.0000%
      25.125000        25.125000         0.000000          0.0000%
      21.500000        21.500000         0.000000          0.0000%
      19.875000        19.750000         0.125000          0.6289%
      18.125000        18.250000         0.125000          0.6897%
      26.250000        26.250000         0.000000          0.0000%
      12.562500        12.500000         0.062500          0.4975%
      22.000000        22.000000         0.000000          0.0000%
      18.000000        18.000000         0.000000          0.0000%
      19.250000        19.250000         0.000000          0.0000%
      24.625000        24.750000         0.125000          0.5076%
      15.375000        15.312500         0.062500          0.4065%
      21.000000        21.000000         0.000000          0.0000%
      19.000000        19.000000         0.000000          0.0000%
      15.937500        16.000000         0.062500          0.3922%
      20.250000        20.250000         0.000000          0.0000%
      15.687500        15.750000         0.062500          0.3984%
      23.000000        23.000000         0.000000          0.0000%
      18.625000        18.625000         0.000000          0.0000%
      23.000000        23.125000         0.125000          0.5435%
      18.375000        18.375000         0.000000          0.0000%
      18.125000        18.250000         0.125000          0.6897%
      19.125000        19.125000         0.000000          0.0000%
      20.750000        20.750000         0.000000          0.0000%
      23.250000        23.250000         0.000000          0.0000%
      22.500000        22.625000         0.125000          0.5556%
      17.125000        17.250000         0.125000          0.7299%
      14.125000        14.125000         0.000000          0.0000%
