 row  golden      hw     gold(dec)       hw(dec)      rel%
------------------------------------------------------------
   0    4452    DEAD      840.0000  -6232981884280766464.0000  742021652890567552.000%  <-- MISMATCH
   1    4455    4455      852.0000      852.0000    0.000%
   2    4470    4470      960.0000      960.0000    0.000%
   3    443C    443C      752.0000      752.0000    0.000%
   4    445A    445A      872.0000      872.0000    0.000%
   5    4447    4447      796.0000      796.0000    0.000%
   6    4450    4450      832.0000      832.0000    0.000%
   7    447F    447F     1020.0000     1020.0000    0.000%
   8    4457    4457      860.0000      860.0000    0.000%
   9    445E    445E      888.0000      888.0000    0.000%
  10    4452    4452      840.0000      840.0000    0.000%
  11    4465    4465      916.0000      916.0000    0.000%
  12    4453    4453      844.0000      844.0000    0.000%
  13    446E    446E      952.0000      952.0000    0.000%
  14    4469    4469      932.0000      932.0000    0.000%
  15    4434    4434      720.0000      720.0000    0.000%
  16    4463    4463      908.0000      908.0000    0.000%
  17    445C    445C      880.0000      880.0000    0.000%
  18    4456    4456      856.0000      856.0000    0.000%
  19    4461    4461      900.0000      900.0000    0.000%
  20    4465    4465      916.0000      916.0000    0.000%
  21    447C    447C     1008.0000     1008.0000    0.000%
  22    4473    4473      972.0000      972.0000    0.000%
  23    4455    4455      852.0000      852.0000    0.000%
  24    4479    4479      996.0000      996.0000    0.000%
  25    4458    4458      864.0000      864.0000    0.000%
  26    446D    446D      948.0000      948.0000    0.000%
  27    444C    444C      816.0000      816.0000    0.000%
  28    444E    444E      824.0000      824.0000    0.000%
  29    4439    4439      740.0000      740.0000    0.000%
  30    444C    444C      816.0000      816.0000    0.000%
  31    445F    445F      892.0000      892.0000    0.000%
  32    4447    4447      796.0000      796.0000    0.000%
  33    4448    4448      800.0000      800.0000    0.000%
  34    445F    445F      892.0000      892.0000    0.000%
  35    444B    444B      812.0000      812.0000    0.000%
  36    4465    4465      916.0000      916.0000    0.000%
  37    4460    4460      896.0000      896.0000    0.000%
  38    445B    445B      876.0000      876.0000    0.000%
  39    4450    4450      832.0000      832.0000    0.000%
  40    445D    445D      884.0000      884.0000    0.000%
  41    4462    4462      904.0000      904.0000    0.000%
  42    446D    446D      948.0000      948.0000    0.000%
  43    446F    446F      956.0000      956.0000    0.000%
  44    4466    4466      920.0000      920.0000    0.000%
  45    4441    4441      772.0000      772.0000    0.000%
  46    445C    445C      880.0000      880.0000    0.000%
  47    4450    4450      832.0000      832.0000    0.000%
  48    445E    445E      888.0000      888.0000    0.000%
  49    444C    444C      816.0000      816.0000    0.000%
  50    4441    4441      772.0000      772.0000    0.000%
  51    445A    445A      872.0000      872.0000    0.000%
  52    4452    4452      840.0000      840.0000    0.000%
  53    4444    4444      784.0000      784.0000    0.000%
  54    4441    4441      772.0000      772.0000    0.000%
  55    4466    4466      920.0000      920.0000    0.000%
  56    4461    4461      900.0000      900.0000    0.000%
  57    445D    445D      884.0000      884.0000    0.000%
