config,cores,blocks,blocks_total,macs_per_cycle,dsps_expected,hbm_pcs,w_pcs,ind_pcs,a_pcs,c_pcs,w_idx,ind_bits,wns_ns,tns_ns,failing_endpoints,period_ns,fmax_mhz,lut_prim,ff_prim,muxf7_prim,dsp_prim,ramb_prim
4x4,4,4,16,32,128,6,2,1,2,1,8,160,-0.114,-1.193,31,1.614,619.6,20477,22391,2048,128,23
8x2,8,2,16,32,128,6,2,1,2,1,4,160,-0.204,-11.342,285,1.704,586.9,22547,24460,2048,128,23
16x1,16,1,16,32,128,6,2,1,2,1,2,160,-0.348,-253.928,4474,1.848,541.1,26718,28647,2048,128,23
4x8,4,8,32,64,256,10,4,2,2,2,16,320,-0.567,-640.216,4502,2.067,483.8,38036,43989,4096,256,37
8x4,8,4,32,64,256,10,4,2,2,2,8,320,-0.286,-91.280,1583,1.786,559.9,40106,44005,4096,256,37
16x2,16,2,32,64,256,10,4,2,2,2,4,320,-0.511,-992.306,8392,2.011,497.3,44282,48209,4096,256,37
4x12,4,12,48,96,384,13,6,2,2,3,24,480,-0.559,-503.393,4849,2.059,485.7,55548,63510,6144,384,52
8x6,8,6,48,96,384,13,6,2,2,3,12,480,-0.653,-352.321,4380,2.153,464.5,57637,63550,6144,384,52
16x3,16,3,48,96,384,13,6,2,2,3,6,480,-0.493,-1102.591,10986,1.993,501.8,61816,67757,6144,384,52
4x16,4,16,64,128,512,17,8,3,2,4,32,640,-0.731,-2369.531,13016,2.231,448.2,73131,85213,8192,512,66
8x8,8,8,64,128,512,17,8,3,2,4,16,640,-0.729,-3867.290,20031,2.229,448.6,75197,87235,8192,512,66
16x4,16,4,64,128,512,17,8,3,2,4,8,640,-1.102,-7005.172,23609,2.602,384.3,79429,87382,8192,512,66
4x24,4,24,96,192,768,24,12,4,2,6,48,960,-0.955,-6811.946,28342,2.455,407.3,108231,126378,12288,768,95
8x12,8,12,96,192,768,24,12,4,2,6,24,960,-1.291,-9788.963,29397,2.791,358.3,110337,126392,12288,768,95
16x6,16,6,96,192,768,24,12,4,2,6,12,960,-1.145,-8437.957,27591,2.645,378.1,114487,126444,12288,768,95
