category,resource,sparse_two2N_axis,dense_gemv_axis,sparse_cost_abs,sparse_cost_pct,ratio_sparse_over_dense,note
CLB Logic,CLB LUTs,62417,44241,18176,41.08,1.4108,the headline area cost of per-row sparsity
CLB Logic,LUT as Logic,56657,38481,18176,47.23,1.4723,
CLB Logic,LUT as Memory,5760,5760,0,0.0,1.0,identical: the shift-register delay lines are the same in both
CLB Logic,LUT as Distributed RAM,0,0,0,,,
CLB Logic,LUT as Shift Register,5760,5760,0,0.0,1.0,
CLB Logic,CLB Registers,79464,76202,3262,4.28,1.0428,"the frozen activation window, replicated per core for fanout"
CLB Logic,Register as Flip Flop,79464,76202,3262,4.28,1.0428,
CLB Logic,Register as Latch,0,0,0,,,
CLB Logic,CARRY8,2884,2888,-4,-0.14,0.9986,
CLB Logic,F7 Muxes,8192,0,8192,,,the gather mux: 64 blocks x 2 indices x 16 bits x 4 MUXF7 -- the entire hardware cost of sparsity
CLB Logic,F8 Muxes,0,0,0,,,
CLB Logic,F9 Muxes,0,0,0,,,
CLB Distribution,CLB,14344,11541,2803,24.29,1.2429,
CLB Distribution,CLBL,7542,5933,1609,27.12,1.2712,
CLB Distribution,CLBM,6802,5608,1194,21.29,1.2129,
Other,using O5 output only,933,897,36,4.01,1.0401,
Other,using O6 output only,41377,23255,18122,77.93,1.7793,
Other,using O5 and O6,14347,14329,18,0.13,1.0013,
Other,Register driven from within the CLB,46365,44129,2236,5.07,1.0507,
Other,Register driven from outside the CLB,33099,32073,1026,3.2,1.032,
Other,LUT in front of the register is unused,27633,27129,504,1.86,1.0186,
Other,LUT in front of the register is used,5466,4944,522,10.56,1.1056,
Other,Unique Control Sets,2283,2268,15,0.66,1.0066,
Block RAM,Block RAM Tile,74,64,10,15.62,1.1562,"11 input pseudo-channels vs 8, plus the activation replay buffer"
Other,FIFO36E2 only,8,8,0,0.0,1.0,
Block RAM,RAMB36E2 only,66,56,10,17.86,1.1786,
Block RAM,RAMB18,0,0,0,,,
Block RAM,URAM,0,0,0,,,
Arithmetic,DSPs,512,512,0,0.0,1.0,"IDENTICAL: sparsity adds no arithmetic, only selection logic"
Arithmetic,DSP48E2 only,512,512,0,0.0,1.0,
Other,Bonded IOB,0,0,0,,,
Other,HPIOBDIFFINBUF,0,0,0,,,
Other,HPIOBDIFFOUTBUF,0,0,0,,,
Other,GLOBAL CLOCK BUFFERs,0,0,0,,,
Other,BUFGCE,0,0,0,,,
Other,PLL,0,0,0,,,
Other,MMCM,0,0,0,,,
Other,CMACE4,0,0,0,,,
Other,ILKNE4,0,0,0,,,
Other,PCIE40E4,0,0,0,,,
Other,PCIE4CE4,0,0,0,,,
Other,SYSMONE4,0,0,0,,,
Other,BSCANE2,0,0,0,,,
Other,ICAPE3,0,0,0,,,
Other,STARTUPE3,0,0,0,,,
Other,FDRE,79249,76022,3227,4.24,1.0424,
Other,LUT6,27065,8551,18514,216.51,3.1651,
Other,LUT3,15411,15372,39,0.25,1.0025,
Other,LUT4,11808,11778,30,0.25,1.0025,
Other,LUT2,7876,7852,24,0.31,1.0031,
Other,LUT5,7318,7742,-424,-5.48,0.9452,
Other,SRL16E,6784,6784,0,0.0,1.0,
Other,LUT1,1526,1515,11,0.73,1.0073,
Other,DSP48E2,512,512,0,0.0,1.0,
Other,FDSE,215,180,35,19.44,1.1944,
Other,RAMB36E2,66,56,10,17.86,1.1786,
Other,FIFO36E2,8,8,0,0.0,1.0,
Other,Multiplier,128,128,0,0.0,1.0,
Other,Adder,64,64,0,0.0,1.0,
Other,Accumulator,64,64,0,0.0,1.0,
