config_label,gmac_s_single,gmac_s_multi,static_nJ_per_MAC_single,dynamic_nJ_per_MAC_single,static_nJ_per_MAC_multi,dynamic_nJ_per_MAC_multi,clock_mhz_single,clock_mhz_multi,gmac_s_per_channel_single,gmac_s_per_channel_multi,kind,configuration,engine_shape,tenants,hbm_channels,lanes_total,macs_per_cycle,clock_mhz,gmac_s,pct_of_peak,gmac_s_per_channel,energy_total_nJ_per_MAC,board_load_W,board_idle_W,floorplan,status,source,estimator
4x4 (6 ch),12.615,,1.9997,0.1669,,,400.0,,2.1025,,single engine,one 4x4 engine,4x4,1,6,16,32,400.0,12.615,98.55,2.1025,2.1666,27.332,25.226,SLR0,measured,"GEMV_Family_Measured.csv, family_measurements/4x4/power_4x4_400MHz.csv",steady state: ss_gflops_act_MIXED / 2; energy = MIXED soak power / that
8x4 (10 ch),23.715,,1.1236,0.1325,,,375.0,,2.3715,,single engine,one 8x4 engine,8x4,1,10,32,64,375.0,23.715,98.81,2.3715,1.2562,29.79,26.647,SLR0,measured,"GEMV_Family_Measured.csv, family_measurements/8x4/power_8x4_375MHz.csv",steady state: ss_gflops_act_MIXED / 2; energy = MIXED soak power / that
2 x 4x4 (12 ch),,24.997,,,1.0717,0.1582,,394.0,,2.0831,multi-tenant,2 x 4x4 tenants,4x4,2,12,32,64,394.0,24.997,99.13,2.0831,1.2299,30.744,26.789,SLR0,measured,multi_x2_394MHz.csv (sparse_4x4_x2_400.xclbin),"steady state: sum over tenants of MACs / (active span - a), all tenants running; energy = full-set MIXED soak power / that"
16x3 (13 ch),33.1,,0.8308,0.143,,,350.0,,2.5462,,single engine,one 16x3 engine,16x3,1,13,48,96,350.0,33.1,98.51,2.5462,0.9739,32.235,27.501,SLR0,measured,"GEMV_Family_Measured.csv, family_measurements/16x3/power_16x3_350MHz.csv",steady state: ss_gflops_act_MIXED / 2; energy = MIXED soak power / that
8x8 (17 ch),41.125,,0.751,0.1314,,,325.0,,2.4191,,single engine,one 8x8 engine,8x8,1,17,64,128,325.0,41.125,98.86,2.4191,0.8823,36.286,30.883,split,measured,"GEMV_Family_Measured.csv, family_measurements/8x8/power_8x8_325MHz.csv",steady state: ss_gflops_act_MIXED / 2; energy = MIXED soak power / that
3 x 4x4 (18 ch),,37.915,,,0.8166,0.164,,399.0,,2.1064,multi-tenant,3 x 4x4 tenants,4x4,3,18,48,96,399.0,37.915,98.99,2.1064,0.9806,37.179,30.96,SLR0,measured,multi_x3_399MHz.csv (sparse_4x4_x3_400.xclbin),"steady state: sum over tenants of MACs / (active span - a), all tenants running; energy = full-set MIXED soak power / that"
2 x 8x4 (20 ch),,45.591,,,0.6896,0.149,,361.0,,2.2795,multi-tenant,2 x 8x4 tenants,8x4,2,20,64,128,361.0,45.591,98.66,2.2795,0.8386,38.233,31.438,SLR0,measured,multi_8x4_x2_361MHz.csv (sparse_8x4_x2_375.xclbin),"steady state: sum over tenants of MACs / (active span - a), all tenants running; energy = full-set MIXED soak power / that"
4x24 (24 ch),57.025,,0.5723,0.1367,,,300.0,,2.376,,single engine,one 4x24 engine,4x24,1,24,96,192,300.0,57.025,99.0,2.376,0.709,40.43,32.633,split,measured,"GEMV_Family_Measured.csv, family_measurements/4x24/power_4x24_300MHz.csv",steady state: ss_gflops_act_MIXED / 2; energy = MIXED soak power / that
4 x 4x4 (24 ch),,47.37,,,0.6975,0.1542,,374.0,,1.9738,multi-tenant,4 x 4x4 tenants,4x4,4,24,64,128,374.0,47.37,98.95,1.9738,0.8517,40.345,33.041,SLR0,measured,multi_x4_374MHz.csv (sparse_4x4_x4_375.xclbin),"steady state: sum over tenants of MACs / (active span - a), all tenants running; energy = full-set MIXED soak power / that"
2 x 16x3 (26 ch),,64.642,,,0.5318,0.1252,,341.0,,2.4862,multi-tenant,2 x 16x3 tenants,16x3,2,26,96,192,341.0,64.642,98.73,2.4862,0.657,42.468,34.378,split,measured,multi_16x3_x2_341MHz.csv (sparse_16x3_x2_375.xclbin),"steady state: sum over tenants of MACs / (active span - a), all tenants running; energy = full-set MIXED soak power / that"
5 x 4x4 (30 ch),,51.718,,,0.6529,0.1628,,329.0,,1.7239,multi-tenant,5 x 4x4 tenants,4x4,5,30,80,160,329.0,51.718,98.25,1.7239,0.8157,42.187,33.768,split,measured,multi_x5_329MHz.csv (sparse_4x4_x5_375_split.xclbin),"steady state: sum over tenants of MACs / (active span - a), all tenants running; energy = full-set MIXED soak power / that"
3 x 8x4 (30 ch),,66.795,,,0.5106,0.1409,,354.0,,2.2265,multi-tenant,3 x 8x4 tenants,8x4,3,30,96,192,354.0,66.795,98.27,2.2265,0.6515,43.516,34.106,split,measured,multi_8x4_x3_354MHz.csv (sparse_8x4_x3_375.xclbin),"steady state: sum over tenants of MACs / (active span - a), all tenants running; energy = full-set MIXED soak power / that"
4x32 (32 ch),63.635,,0.5294,0.1349,,,250.0,,1.9886,,single engine,one 4x32 engine,4x32,1,32,128,256,250.0,63.635,99.43,1.9886,0.6643,42.271,33.686,split,measured,"GEMV_Family_Measured.csv, family_measurements/4x32/power_4x32_250MHz.csv",steady state: ss_gflops_act_MIXED / 2; energy = MIXED soak power / that
