design,sparsity,sparsity_order,shape,shape_order,dimensions,matrix_elements,M_rows,N_cols,latency_per_matrix_us,board_load_W,board_idle_W,board_dynamic_W,energy_static_uJ,energy_dynamic_uJ,energy_total_uJ,energy_static_pJ_per_element,energy_dynamic_pJ_per_element,energy_total_pJ_per_element,static_pct,energy_vs_dense,GFLOPS_effective
dense,dense,1,G1,1,512x512,262144,512,512,6.5734,31.724,27.077,4.647,177.988,30.547,208.535,678.97,116.526,795.496,85.35,1.0,79.76
dense,dense,1,G2,2,768x768,589824,768,768,14.7746,31.724,27.077,4.647,400.052,68.658,468.709,678.256,116.403,794.66,85.35,1.0,79.84
dense,dense,1,G3,3,1024x1024,1048576,1024,1024,26.155,31.724,27.077,4.647,708.199,121.542,829.741,675.391,115.912,791.303,85.35,1.0,80.18
dense,dense,1,G4,4,3072x768,2359296,3072,768,59.1612,31.724,27.077,4.647,1601.908,274.922,1876.83,678.977,116.527,795.504,85.35,1.0,79.76
dense,dense,1,G5,5,768x3072,2359296,768,3072,59.2473,31.724,27.077,4.647,1604.239,275.322,1879.561,679.965,116.697,796.662,85.35,1.0,79.64
dense,dense,1,G6,6,4096x1024,4194304,4096,1024,105.0663,31.724,27.077,4.647,2844.88,488.243,3333.123,678.272,116.406,794.679,85.35,1.0,79.84
dense,dense,1,G7,7,1024x4096,4194304,1024,4096,105.1784,31.724,27.077,4.647,2847.916,488.764,3336.68,678.996,116.53,795.526,85.35,1.0,79.76
dense,dense,1,G8,8,2048x2048,4194304,2048,2048,105.1802,31.724,27.077,4.647,2847.964,488.772,3336.737,679.008,116.532,795.54,85.35,1.0,79.75
dense,dense,1,G9,9,4096x4096,16777216,4096,4096,417.3694,31.724,27.077,4.647,11301.111,1939.516,13240.627,673.599,115.604,789.203,85.35,1.0,80.4
dense,dense,1,G10,10,8192x2048,16777216,8192,2048,419.3958,31.724,27.077,4.647,11355.98,1948.932,13304.912,676.869,116.165,793.035,85.35,1.0,80.01
dense,dense,1,G11,11,2048x8192,16777216,2048,8192,421.1204,31.724,27.077,4.647,11402.677,1956.946,13359.624,679.653,116.643,796.296,85.35,1.0,79.68
sparse,2:4,2,G1,1,512x512,262144,512,512,3.2625,35.994,30.165,5.829,98.413,19.017,117.43,375.417,72.545,447.962,83.81,1.7758,160.7
sparse,2:4,2,G2,2,768x768,589824,768,768,7.3385,35.994,30.165,5.829,221.366,42.776,264.142,375.308,72.524,447.832,83.81,1.7745,160.75
sparse,2:4,2,G3,3,1024x1024,1048576,1024,1024,13.095,35.994,30.165,5.829,395.011,76.331,471.341,376.712,72.795,449.506,83.81,1.7604,160.15
sparse,2:4,2,G4,4,3072x768,2359296,3072,768,29.4236,35.994,30.165,5.829,887.563,171.51,1059.073,376.198,72.695,448.894,83.81,1.7721,160.37
sparse,2:4,2,G5,5,768x3072,2359296,768,3072,29.0261,35.994,30.165,5.829,875.572,169.193,1044.765,371.116,71.713,442.829,83.81,1.799,162.56
sparse,2:4,2,G6,6,4096x1024,4194304,4096,1024,52.0665,35.994,30.165,5.829,1570.586,303.496,1874.082,374.457,72.359,446.816,83.81,1.7785,161.11
sparse,2:4,2,G7,7,1024x4096,4194304,1024,4096,52.0878,35.994,30.165,5.829,1571.228,303.62,1874.848,374.61,72.389,446.999,83.81,1.7797,161.05
