config,family,cores,blocks,blocks_total,macs_per_cycle,dsps,hbm_pcs,w_pcs,ind_pcs,a_pcs,c_pcs,w_idx,ind_bits,wns_ns,tns_ns,failing_endpoints,fmax_mhz,lut_prim,ff_prim,muxf7_prim,ramb_prim,lut_per_dsp,ff_per_dsp,gmac_per_s,gmac_per_channel,dsps_per_channel
4x4,T=16,4,4,16,32,128,6,2,1,2,1,8,160,-0.114,-1.193,31,619.6,20477,22391,2048,23.0,160.0,174.9,19.8,3.3,21.3
8x2,T=16,8,2,16,32,128,6,2,1,2,1,4,160,-0.204,-11.342,285,586.9,22547,24460,2048,23.0,176.1,191.1,18.8,3.13,21.3
16x1,T=16,16,1,16,32,128,6,2,1,2,1,2,160,-0.348,-253.928,4474,541.1,26718,28647,2048,23.0,208.7,223.8,17.3,2.89,21.3
4x8,T=32,4,8,32,64,256,10,4,2,2,2,16,320,-0.567,-640.216,4502,483.8,38036,43989,4096,37.0,148.6,171.8,31.0,3.1,25.6
8x4,T=32,8,4,32,64,256,10,4,2,2,2,8,320,-0.286,-91.28,1583,559.9,40106,44005,4096,37.0,156.7,171.9,35.8,3.58,25.6
16x2,T=32,16,2,32,64,256,10,4,2,2,2,4,320,-0.511,-992.306,8392,497.3,44282,48209,4096,37.0,173.0,188.3,31.8,3.18,25.6
4x12,T=48,4,12,48,96,384,13,6,2,2,3,24,480,-0.559,-503.393,4849,485.7,55548,63510,6144,52.0,144.7,165.4,46.6,3.59,29.5
8x6,T=48,8,6,48,96,384,13,6,2,2,3,12,480,-0.653,-352.321,4380,464.5,57637,63550,6144,52.0,150.1,165.5,44.6,3.43,29.5
16x3,T=48,16,3,48,96,384,13,6,2,2,3,6,480,-0.493,-1102.591,10986,501.8,61816,67757,6144,52.0,161.0,176.5,48.2,3.71,29.5
4x16,T=64,4,16,64,128,512,17,8,3,2,4,32,640,-0.731,-2369.531,13016,448.2,73131,85213,8192,66.0,142.8,166.4,57.4,3.37,30.1
8x8,T=64,8,8,64,128,512,17,8,3,2,4,16,640,-0.729,-3867.29,20031,448.6,75197,87235,8192,66.0,146.9,170.4,57.4,3.38,30.1
16x4,T=64,16,4,64,128,512,17,8,3,2,4,8,640,-1.102,-7005.172,23609,384.3,79429,87382,8192,66.0,155.1,170.7,49.2,2.89,30.1
4x24,T=96,4,24,96,192,768,24,12,4,2,6,48,960,-0.955,-6811.946,28342,407.3,108231,126378,12288,95.0,140.9,164.6,78.2,3.26,32.0
8x12,T=96,8,12,96,192,768,24,12,4,2,6,24,960,-1.291,-9788.963,29397,358.3,110337,126392,12288,95.0,143.7,164.6,68.8,2.87,32.0
16x6,T=96,16,6,96,192,768,24,12,4,2,6,12,960,-1.145,-8437.957,27591,378.1,114487,126444,12288,95.0,149.1,164.6,72.6,3.02,32.0
4x32,T=128,4,32,128,256,1024,32,16,6,2,8,64,1280,-1.314,-17217.439,42177,355.4,143459,167729,16384,125.0,140.1,163.8,91.0,2.84,32.0
8x16,T=128,8,16,128,256,1024,32,16,6,2,8,32,1280,-1.397,-20169.605,43978,345.2,145465,169753,16384,125.0,142.1,165.8,88.4,2.76,32.0
16x8,T=128,16,8,128,256,1024,32,16,6,2,8,16,1280,-1.339,-23471.922,53677,352.2,149553,173711,16384,125.0,146.0,169.6,90.2,2.82,32.0
