config,family,role,floorplan,cores,blocks,blocks_total,macs_per_cycle,dsps_theory,hbm_pcs,w_pcs,ind_pcs,a_pcs,c_pcs,spare_pcs,w_idx,ind_bits,target_mhz,period_ns,timing_source,kernel_wns_ns,kernel_tns_ns,kernel_failing_endpoints,kernel_total_endpoints,kernel_whs_ns,kernel_wns_routed_ns,kernel_fail_routed,physopt_gain_ps,hbm_wns_ns,hbm_failing_endpoints,closed,achieved_mhz,fmax_kind,ooc_fmax_mhz,target_over_ooc,gemv_lut,gemv_lutram,gemv_ff,gemv_bram,gemv_dsp,mm2s_count,mm2s_lut,mm2s_ff,mm2s_bram,s2mm_count,s2mm_lut,s2mm_ff,s2mm_bram,movers_lut,gemv_lut_per_dsp,engine_die,slr0_lut,slr1_lut,slr2_lut,slr0_bram,slr1_bram,slr2_bram,slr0_bram_pct,slr0_dsp,slr1_dsp,slr2_dsp,sll_total,sll_slr0_slr1,sll_slr1_slr2,sll_slr0_to_slr1,sll_slr1_to_slr0,gmac_per_s,gmac_per_hbm_pc,dsps_per_hbm_pc,report_dir,note
4x4,T=16,headline,SLR0,4,4,16,32,128,6,2,1,2,1,26,8,160,400,2.5,postroute_physopted,0.022,0,0,120197,0.01,0.022,0,0.0,0.109,0,yes,403.6,lower_bound,619.6,0.646,17977,1440,22385,31,128,5,7641,14177,68,1,2045,3173,16,9686,140.4,SLR0,52960,47666,35382,145,80.5,94,21.58,128,0,4,6504,2535,3969,1141,1394,12.8,2.133,21.33,reports_4x4_400_slr0,
8x4,T=32,headline,SLR0,8,4,32,64,256,10,4,2,2,2,22,8,320,375,2.6667,postroute_physopted,0.061,0,0,213537,0.01,0.061,0,0.0,0.122,0,yes,383.8,lower_bound,559.9,0.67,35438,2880,44103,45,256,8,11865,21781,102,2,4066,6350,32,15931,138.4,SLR0,81921,47671,35359,210.5,80.5,94,31.32,256,0,4,6516,2546,3970,1150,1396,24.0,2.4,25.6,reports_8x4_375,
16x3,T=48,headline,SLR0,16,3,48,96,384,13,6,2,2,3,19,6,480,350,2.8571,postroute_physopted,0.008,0,0,309535,0.006,-0.002,1,10.0,0.091,0,yes,351.0,lower_bound,501.8,0.697,54733,4320,67736,60,384,10,15551,28891,140,3,6113,9536,48,21664,142.5,SLR0,111137,47670,35360,280.5,80.5,94,41.74,384,0,4,6512,2539,3973,1147,1392,33.6,2.585,29.54,reports_16x3_350_missed,closed on the FINAL report (+0.008; routed said -0.002); bit-exact on the card
8x8,T=64,headline,split,8,8,64,128,512,17,8,3,2,4,15,16,640,325,3.0769,postroute_physopted,0.001,0,0,397573,0.005,0.001,0,0.0,0.132,0,yes,325.1,lower_bound,448.6,0.724,66176,5759,87243,74,512,13,21074,36920,176,4,8158,12719,64,29232,129.2,SLR1,69903,113940,35362,276,154.5,94,41.07,0,512,4,10855,6862,3993,4413,2449,41.6,2.447,30.12,reports_325,"reused pre-campaign build: split floorplan, NO synthesis strategy applied (run.synth_1 was silently ignored); area comparable -- gemv 66,186 LUT vs 66,183 with AlternateRoutability"
4x24,T=96,headline,split,4,24,96,192,768,24,12,4,2,6,8,48,960,300,3.3333,postroute_physopted,0.002,0,0,568736,0.01,0.002,0,0.0,0.046,0,yes,300.2,lower_bound,407.3,0.737,94823,8637,126335,103,768,18,28222,51734,250,6,12198,19069,96,40420,123.5,SLR1,90632,142604,35356,384.5,183.5,94,57.22,0,768,4,12775,8774,4001,5803,2971,57.6,2.4,32.0,reports_4x24_300,
4x32,T=128,headline,split,4,32,128,256,1024,32,16,6,2,8,0,64,1280,250,4.0,postroute_physopted,0.001,0,0,758100,0.006,0.001,0,0.0,0.088,0,yes,250.1,lower_bound,355.4,0.703,125614,11520,167476,133,1024,24,35981,67403,326,8,16101,25176,128,52082,122.7,SLR1,119628,173294,33830,495.5,213.5,94,73.74,0,1024,4,15811,11235,4576,7446,3789,64.0,2.0,32.0,reports_4x32_250,
4x4,T=16,floorplan_experiment,split,4,4,16,32,128,6,2,1,2,1,26,8,160,400,2.5,postroute_physopted,-0.03,-0.722,47,120406,0.004,-0.048,84,18.0,0.091,0,no,395.3,estimate,619.6,0.646,17988,1440,22390,31,128,5,8324,14250,68,1,2053,3177,16,10377,140.5,SLR1,35658,65684,35376,114,111.5,94,16.96,0,128,4,8033,4065,3968,2398,1667,,,21.33,reports_4x4_400_split,paired with the SLR0 headline: only the die assignment differs
8x8,T=64,floorplan_experiment,SLR0,8,8,64,128,512,17,8,3,2,4,15,16,640,325,3.0769,postroute_physopted,-0.311,-37.85,308,397299,0.006,-0.338,320,27.0,0.059,0,no,295.2,estimate,448.6,0.724,66183,5760,87240,74,512,13,19865,36746,176,4,8190,12753,64,28055,129.3,SLR0,135023,47695,35355,350,80.5,94,52.08,512,0,4,6569,2574,3995,1174,1400,,,30.12,reports_8x8_325_slr0_missed,the crossover: single-die above T=48
16x3,T=48,constraint_experiment,SLR0,16,3,48,96,384,13,6,2,2,3,19,6,480,345,2.8986,postroute_physopted,-0.049,-1.571,74,309514,0.001,-0.091,99,42.0,0.098,0,no,339.3,estimate,501.8,0.688,54785,4319,67740,60,384,10,15542,28884,140,3,6106,9523,48,21648,142.7,SLR0,111113,47670,35355,280.5,80.5,94,41.74,384,0,4,6512,2539,3973,1147,1392,,,29.54,reports_16x3_345,"looser than 350 and MISSED, where 350 closed -- achieved period tracks the constraint"
16x3,T=48,constraint_experiment,SLR0,16,3,48,96,384,13,6,2,2,3,19,6,480,325,3.0769,postroute_physopted,0.028,0,0,309436,0.01,0.028,0,0.0,0.081,0,yes,328.0,lower_bound,501.8,0.648,54649,4320,67720,60,384,10,15574,28860,140,3,6097,9525,48,21671,142.3,SLR0,111012,47671,35359,280.5,80.5,94,41.74,384,0,4,6516,2542,3974,1147,1395,31.2,2.4,29.54,reports_16x3_325,rebuilt 'to be sure'; unnecessary once the 350 build was read from the final report
