family,config,blocks_total,dsps,hbm_pcs,clock_mhz,sparsity,ss_gflops_effective,ss_gflops_actual,ss_efficiency_pct,ss_effective_mhz,soak_board_W,soak_vccint_W,soak_core_dyn_W,soak_energy_nJ_per_row,soak_mrow_s,ss_gflops_per_board_W,ss_gflops_act_per_board_W,ss_gmac_act_per_hbm_pc,ss_bandwidth_GBs,avg3_mrow_s,avg3_gflops_effective,ss_overhead_us
4x4 (T=16),4x4,16,128,6,400,2:4,50.6,25.3,98.83,395.31,27.729,6.42,0.284,1163.033,23.842,1.825,0.912,2.108,37.95,23.194,47.5,325.1
4x4 (T=16),4x4,16,128,6,400,2:8,101.1,25.28,98.73,394.93,27.458,6.425,0.314,577.256,47.567,3.682,0.921,2.106,37.91,46.427,95.08,325.1
4x4 (T=16),4x4,16,128,6,400,2:16,200.82,25.1,98.06,392.23,27.602,6.355,0.334,291.779,94.6,7.276,0.909,2.092,37.65,91.71,187.82,325.1
4x4 (T=16),4x4,16,128,6,400,2:32,396.41,24.78,96.78,387.12,27.472,6.293,0.295,147.588,186.141,14.43,0.902,2.065,37.16,181.351,371.41,325.1
4x4 (T=16),4x4,16,128,6,400,MIXED,107.64,25.23,98.55,394.2,27.332,6.239,0.265,541.534,50.472,3.938,0.923,2.102,37.84,49.426,101.22,325.1
8x4 (T=32),8x4,32,256,10,375,2:4,95.08,47.54,99.04,371.41,29.882,6.914,0.39,678.663,44.03,3.182,1.591,2.377,71.31,42.678,87.41,518.6
8x4 (T=32),8x4,32,256,10,375,2:8,190.57,47.64,99.25,372.21,29.975,7.131,0.507,339.359,88.327,6.358,1.589,2.382,71.46,84.864,173.8,518.6
8x4 (T=32),8x4,32,256,10,375,2:16,376.63,47.08,98.08,367.8,30.002,7.222,0.626,172.365,174.058,12.553,1.569,2.354,70.62,168.419,344.92,518.6
8x4 (T=32),8x4,32,256,10,375,2:32,746.93,46.68,97.26,364.71,29.833,7.14,0.637,86.759,343.858,25.037,1.565,2.334,70.02,331.859,679.65,518.6
8x4 (T=32),8x4,32,256,10,375,MIXED,202.35,47.43,98.8,370.52,29.79,7.051,0.498,319.819,93.146,6.793,1.592,2.371,71.14,89.981,184.28,518.6
16x3 (T=48),16x3,48,384,13,350,2:4,131.23,66.37,98.76,345.67,32.23,7.785,0.606,525.763,61.302,4.072,2.059,2.553,88.49,58.721,120.26,595.6
16x3 (T=48),16x3,48,384,13,350,2:8,261.11,66.03,98.25,343.89,31.926,7.835,0.693,261.595,122.044,8.179,2.068,2.539,88.04,117.98,241.62,595.6
16x3 (T=48),16x3,48,384,13,350,2:16,519.6,65.69,97.76,342.16,32.34,7.853,0.713,133.231,242.735,16.067,2.031,2.527,87.59,231.307,473.72,595.6
16x3 (T=48),16x3,48,384,13,350,2:32,1027.03,64.93,96.62,338.15,32.449,7.829,0.666,67.594,480.057,31.651,2.001,2.497,86.57,460.48,943.06,595.6
16x3 (T=48),16x3,48,384,13,350,MIXED,270.27,66.2,98.51,344.77,32.235,7.794,0.723,248.582,129.675,8.384,2.054,2.546,88.26,123.051,252.01,595.6
8x8 (T=64),8x8,64,512,17,325,2:4,164.69,82.35,98.97,321.66,36.409,8.321,0.819,483.846,75.249,4.523,2.262,2.422,113.23,71.278,145.98,799.1
8x8 (T=64),8x8,64,512,17,325,2:8,329.63,82.41,99.05,321.9,35.396,8.306,0.812,237.31,149.155,9.313,2.328,2.424,113.31,143.333,293.55,799.1
8x8 (T=64),8x8,64,512,17,325,2:16,654.52,81.81,98.33,319.59,36.606,8.333,0.819,123.424,296.59,17.88,2.235,2.406,112.5,286.434,586.62,799.1
