shape_group,family,energy_static_uJ,energy_dynamic_uJ,energy_static_pJ_per_element,energy_dynamic_pJ_per_element,energy_total_uJ,energy_total_pJ_per_element,dimensions,shape,shape_order,family_order,clock_mhz,M_rows,N_cols,matrix_elements,padding_rows,latency_per_matrix_us,board_load_W,board_idle_W,board_dynamic_W,static_pct,data_source
512x512,4x4,123.875,10.342,472.545,39.451,134.217,511.995,512x512,G1,1,1,400,512,512,262144,0,4.9106,27.332,25.226,2.106,92.29,latency x the family's own MIXED 60 s soak (board load / idle)
,8x4,70.324,8.295,268.265,31.642,78.619,299.907,512x512,G1,1,2,375,512,512,262144,0,2.6391,29.79,26.647,3.143,89.45,latency x the family's own MIXED 60 s soak (board load / idle)
,16x3,57.89,9.965,220.831,38.014,67.855,258.845,512x512,G1,1,3,350,512,512,262144,64,2.105,32.235,27.501,4.734,85.31,latency x the family's own MIXED 60 s soak (board load / idle)
,8x8,46.491,8.134,177.35,31.028,54.625,208.378,512x512,G1,1,4,325,512,512,262144,0,1.5054,36.286,30.883,5.403,85.11,latency x the family's own MIXED 60 s soak (board load / idle)
,4x24,53.198,12.711,202.935,48.487,65.909,251.423,512x512,G1,1,5,300,512,512,262144,256,1.6302,40.43,32.633,7.797,80.71,latency x the family's own MIXED 60 s soak (board load / idle)
,4x32,32.672,8.327,124.634,31.763,40.999,156.397,512x512,G1,1,6,250,512,512,262144,0,0.9699,42.271,33.686,8.585,79.69,latency x the family's own MIXED 60 s soak (board load / idle)
768x768,4x4,278.962,23.289,472.958,39.485,302.251,512.443,768x768,G2,2,1,400,768,768,589824,0,11.0585,27.332,25.226,2.106,92.29,latency x the family's own MIXED 60 s soak (board load / idle)
,8x4,156.759,18.49,265.772,31.348,175.249,297.12,768x768,G2,2,2,375,768,768,589824,0,5.8828,29.79,26.647,3.143,89.45,latency x the family's own MIXED 60 s soak (board load / idle)
,16x3,115.405,19.866,195.66,33.681,135.271,229.341,768x768,G2,2,3,350,768,768,589824,0,4.1964,32.235,27.501,4.734,85.31,latency x the family's own MIXED 60 s soak (board load / idle)
,8x8,104.347,18.256,176.913,30.951,122.603,207.864,768x768,G2,2,4,325,768,768,589824,0,3.3788,36.286,30.883,5.403,85.11,latency x the family's own MIXED 60 s soak (board load / idle)
,4x24,80.316,19.19,136.17,32.535,99.506,168.705,768x768,G2,2,5,300,768,768,589824,0,2.4612,40.43,32.633,7.797,80.71,latency x the family's own MIXED 60 s soak (board load / idle)
,4x32,97.019,24.726,164.488,41.92,121.745,206.409,768x768,G2,2,6,250,768,768,589824,256,2.8801,42.271,33.686,8.585,79.69,latency x the family's own MIXED 60 s soak (board load / idle)
1024x1024,4x4,491.612,41.042,468.838,39.141,532.654,507.979,1024x1024,G3,3,1,400,1024,1024,1048576,0,19.4883,27.332,25.226,2.106,92.29,latency x the family's own MIXED 60 s soak (board load / idle)
,8x4,278.016,32.792,265.137,31.273,310.808,296.41,1024x1024,G3,3,2,375,1024,1024,1048576,0,10.4333,29.79,26.647,3.143,89.45,latency x the family's own MIXED 60 s soak (board load / idle)
,16x3,229.067,39.431,218.455,37.605,268.498,256.06,1024x1024,G3,3,3,350,1024,1024,1048576,128,8.3294,32.235,27.501,4.734,85.31,latency x the family's own MIXED 60 s soak (board load / idle)
