design,clock_mhz,sparsity,sparsity_order,sparsity_M,estimator,M_rows,N_cols,weight_beats,beats_per_row,latency_avg_us,latency_best_us,bandwidth_avg_GBs,bandwidth_roofline_GBs,pct_of_roofline,GFLOPS_effective,GFLOPS_actual,Mrow_s,beats_per_cycle,input_PCs,DSPs,GFLOPS_eff_per_DSP,board_load_W,board_idle_W,board_dynamic_W,vccint_load_W,vccint_idle_W,vccint_dynamic_W,noncore_dynamic_W,energy_nJ_per_row_board,energy_nJ_per_row_vccint,GMAC_per_W
dense,300,dense,1,,sweep_fit,262144,1024,2097152,8,7621.5,7559.1,70.44,76.8,91.7,70.4,70.4,36.988,0.9863,8,512,0.1376,,,,,,,,,,
sparse,300,2:4,2,4,sweep_fit,524288,1024,2097152,4,7839.7,7774.5,94.16,105.6,89.2,137.0,68.5,73.4,0.9787,11,512,0.2675,,,,,,,,,,
sparse,300,2:8,3,8,sweep_fit,1048576,1024,2097152,2,7871.6,7693.2,93.78,105.6,88.8,272.8,68.2,146.437,0.9762,11,512,0.5328,,,,,,,,,,
sparse,300,2:16,4,16,sweep_fit,2097152,1024,2097152,1,7923.0,7777.4,93.17,105.6,88.2,542.1,67.8,290.729,0.9691,11,512,1.0588,,,,,,,,,,
sparse,300,2:32,5,32,sweep_fit,4194304,1024,2097152,0.5,8047.5,7905.6,91.73,105.6,86.9,1067.4,66.7,578.162,0.9636,11,512,2.0848,,,,,,,,,,
sparse,225,2:4,2,4,sweep_fit,524288,1024,2097152,4,10139.8,9977.4,72.8,79.2,91.9,105.9,52.9,56.033,0.9961,11,512,0.2068,,,,,,,,,,
sparse,225,2:8,3,8,sweep_fit,1048576,1024,2097152,2,10281.8,10101.2,71.8,79.2,90.7,208.9,52.2,109.874,0.9767,11,512,0.4079,,,,,,,,,,
sparse,225,2:16,4,16,sweep_fit,2097152,1024,2097152,1,10287.7,10099.3,71.76,79.2,90.6,417.5,52.2,220.347,0.9793,11,512,0.8154,,,,,,,,,,
sparse,225,2:32,5,32,sweep_fit,4194304,1024,2097152,0.5,10403.4,10231.3,70.96,79.2,89.6,825.7,51.6,431.132,0.9581,11,512,1.6127,,,,,,,,,,
dense,300,dense,1,,power_soak,,1024,2097152,8,,,,,,72.2,72.2,35.265,,8,512,0.1411,31.297,26.924,4.373,7.731,6.657,1.074,3.139,887.5,219.2,1.154
dense,325,dense,1,,power_soak,,1024,2097152,8,,,,,,78.0,78.0,38.094,,8,512,0.1524,31.724,27.077,4.647,7.809,6.764,1.045,3.446,832.8,205.0,1.23
sparse,300,2:4,2,4,power_soak,,1024,2097152,4,,,,,,142.9,71.4,69.771,,11,512,0.2791,35.442,30.138,5.304,7.756,7.095,0.661,4.544,508.0,111.2,2.016
sparse,325,2:4,2,4,power_soak,,1024,2097152,4,,,,,,155.5,77.7,75.919,,11,512,0.3037,35.994,30.165,5.829,7.911,7.126,0.785,4.927,474.1,104.2,2.16
sparse,300,2:8,3,8,power_soak,,1024,2097152,2,,,,,,285.2,71.3,139.266,,11,512,0.5571,35.327,30.115,5.212,7.823,7.17,0.653,4.461,253.7,56.2,4.037
sparse,325,2:8,3,8,power_soak,,1024,2097152,2,,,,,,307.7,76.9,150.235,,11,512,0.6009,35.452,30.164,5.288,7.951,7.177,0.774,4.398,236.0,52.9,4.339
sparse,300,2:16,4,16,power_soak,,1024,2097152,1,,,,,,565.0,70.6,275.864,,11,512,1.1035,35.413,30.226,5.187,7.909,7.172,0.737,4.34,128.4,28.7,7.977
sparse,325,2:16,4,16,power_soak,,1024,2097152,1,,,,,,609.2,76.1,297.452,,11,512,1.1898,36.084,30.201,5.883,8.037,7.21,0.827,4.932,121.3,27.0,8.441
sparse,300,2:32,5,32,power_soak,,1024,2097152,0.5,,,,,,1117.0,69.8,545.417,,11,512,2.1817,35.521,30.138,5.383,7.906,7.249,0.657,4.628,65.1,14.5,15.723
sparse,325,2:32,5,32,power_soak,,1024,2097152,0.5,,,,,,1211.1,75.7,591.371,,11,512,2.3655,36.338,30.336,6.002,8.058,7.261,0.797,5.086,61.4,13.6,16.665
sparse,300,MIXED 2:4|2:8|2:16|2:32,99,,mixed_run_avg3,1048576,1024,1966080,1.875,7417.2,7400.7,93.588,105.6,88.6,289.5,67.9,141.371,0.9757,11,512,0.5655,,,,,,,,,,
