workload,tenants_running,static_nJ_per_MAC,dynamic_nJ_per_MAC,total_nJ_per_MAC,gmac_s,board_load_W,board_idle_W,board_dynamic_W,vccint_load_W,vccint_idle_W,static_pct,workload_name,tenants_n,bitstream,clock_mhz,estimator
Mixed,1 tenant,3.4154,0.1598,3.5752,9.881,35.327,33.748,1.579,9.077,8.705,95.53,Mixed,1,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,2 tenants,1.7125,0.1619,1.8744,19.743,37.005,33.809,3.196,9.342,8.703,91.36,Mixed,2,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,3 tenants,1.1517,0.1661,1.3177,29.351,38.676,33.802,4.874,9.67,8.699,87.4,Mixed,3,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,4 tenants,0.8641,0.1646,1.0287,39.196,40.321,33.87,6.451,10.018,8.852,84.0,Mixed,4,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,5 tenants,0.6956,0.1734,0.8691,48.543,42.187,33.768,8.419,10.465,8.835,80.04,Mixed,5,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
All 2:32,1 tenant,3.4537,0.1738,3.6275,9.729,35.293,33.602,1.691,8.97,8.525,95.21,All 2:32,1,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,2 tenants,1.7479,0.1741,1.922,19.13,36.767,33.437,3.33,9.193,8.522,90.94,All 2:32,2,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,3 tenants,1.1588,0.1713,1.3301,28.938,38.49,33.532,4.958,9.539,8.516,87.12,All 2:32,3,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,4 tenants,0.8874,0.1756,1.063,37.706,40.083,33.461,6.622,9.892,8.521,83.48,All 2:32,4,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
,5 tenants,0.7123,0.1784,0.8907,47.209,42.047,33.626,8.421,10.252,8.527,79.97,All 2:32,5,sparse_4x4_x5_375_split.xclbin,329.0,"60 s power soak, host calculation counts x MACs per calculation; static = idle after the soak, dynamic = load - idle"
