design,clock_mhz,sparsity,sparsity_order,estimator,n_runs,M_rows,N_cols,weight_beats,beats_per_row,latency_avg_us,latency_best_us,latency_worst_us,spread_pct,Mrow_s,bandwidth_avg_GBs,bandwidth_roofline_GBs,pct_of_roofline,GFLOPS_effective,GFLOPS_actual,speedup_vs_dense,theory_speedup,pct_of_theory,input_PCs,DSPs,GFLOPS_eff_per_DSP,ideal_latency_us,dsp_occupancy_raw,launch_overhead_us,dsp_occupancy_compute,dsp_stall_pct,MAC_rate_GMACs,GFLOPS_actual_per_DSP,runs
dense,300,dense,1,run_avg3,3,262144,1024,2097152,8.0,7745.577,7735.473,7754.049,0.24,33.844,69.31,76.8,90.3,69.31,69.31,1.0,,,8,512,0.1354,6990.5,0.9025,457.9,0.9592,4.08,34.66,0.1354,7747.209 7754.049 7735.473
sparse,300,2:4,2,run_avg3,6,524288,1024,2097152,4.0,7826.582,7799.745,7858.873,0.758,66.988,94.32,105.6,89.3,137.19,68.6,1.979,2.0,99.0,11,512,0.268,6990.5,0.8932,619.1,0.9699,3.01,34.3,0.134,7832.520 7824.003 7858.873 7799.745 7821.530 7822.824
sparse,300,2:8,3,run_avg3,6,1048576,1024,2097152,2.0,7849.099,7748.434,7905.205,2.023,133.592,94.05,105.6,89.1,273.6,68.4,3.947,4.0,98.7,11,512,0.5344,6990.5,0.8906,569.5,0.9603,3.97,34.2,0.1336,7841.451 7839.661 7874.058 7885.782 7905.205 7748.434
sparse,300,2:16,4,run_avg3,6,2097152,1024,2097152,1.0,7910.9,7779.594,7978.226,2.553,265.096,93.31,105.6,88.4,542.92,67.86,7.833,8.0,97.9,11,512,1.0604,6990.5,0.8837,603.7,0.9567,4.33,33.93,0.1325,7897.634 7968.461 7917.867 7779.594 7923.621 7978.226
sparse,300,2:32,5,run_avg3,6,4194304,1024,2097152,0.5,8005.26,7886.723,8122.858,2.994,523.944,92.21,105.6,87.3,1073.04,67.06,15.481,16.0,96.8,11,512,2.0958,6990.5,0.8732,685.5,0.955,4.5,33.53,0.131,7953.457 8010.233 8059.005 8122.858 7999.282 7886.723
sparse,300,MIXED,6,run_avg3,6,1048576,1024,1966080,1.875,7444.906,7232.363,7641.087,5.651,140.845,92.96,105.6,88.0,288.45,67.61,4.162,,,11,512,0.5634,6553.6,0.8803,684.0,0.9693,3.07,33.8,0.1321,7524.872 7393.941 7232.363 7641.087 7407.585 7469.585
dense,325,dense,1,run_avg3,3,262144,1024,2097152,8.0,7130.17,7116.794,7141.519,0.347,36.765,75.3,83.2,90.5,75.3,75.3,1.0,,,8,512,0.1471,6452.8,0.905,457.9,0.9671,3.29,37.65,0.1471,7141.519 7132.197 7116.794
sparse,325,2:4,2,run_avg3,3,524288,1024,2097152,4.0,7306.062,7233.533,7346.612,1.563,71.761,101.04,114.4,88.3,146.97,73.48,1.952,2.0,97.6,11,512,0.287,6452.8,0.8832,619.1,0.965,3.5,36.74,0.1435,7233.533 7346.612 7338.041
sparse,325,2:8,3,run_avg3,3,1048576,1024,2097152,2.0,7318.191,7261.852,7357.319,1.315,143.283,100.87,114.4,88.2,293.44,73.36,3.897,4.0,97.4,11,512,0.5731,6452.8,0.8817,569.5,0.9562,4.38,36.68,0.1433,7261.852 7357.319 7335.403
sparse,325,2:16,4,run_avg3,3,2097152,1024,2097152,1.0,7340.937,7239.728,7404.427,2.275,285.679,100.56,114.4,87.9,585.07,73.13,7.77,8.0,97.1,11,512,1.1427,6452.8,0.879,603.7,0.9578,4.22,36.57,0.1428,7239.728 7378.655 7404.427
sparse,325,2:32,5,run_avg3,3,4194304,1024,2097152,0.5,7511.888,7482.858,7546.398,0.849,558.355,98.27,114.4,85.9,1143.51,71.47,15.187,16.0,94.9,11,512,2.2334,6452.8,0.859,685.5,0.9453,5.47,35.73,0.1396,7506.409 7546.398 7482.858
sparse,325,MIXED,6,run_avg3,3,1048576,1024,1966080,1.875,6917.779,6881.079,6938.383,0.833,151.577,100.04,114.4,87.4,310.43,72.76,4.123,,,11,512,0.6063,6049.5,0.8745,684.0,0.9704,2.96,36.38,0.1421,6938.383 6881.079 6933.876
