design,sparsity,shape,dimensions,matrix_elements,shape_order,sparsity_order,M_rows,N_cols,nwin,beats_per_matrix,batch_R,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,speedup_vs_dense,latency_norm_dense,theory_speedup,pct_of_theory,spread_pct,data_source
dense,dense,G1,512x512,262144,1,1,512,512,16,2048,1024,7.0757,6.8267,0.9648,74.1,74.1,74.1,1.0,1.0,,,0.494,measured
dense,dense,G2,768x768,589824,2,1,768,768,24,4608,456,16.036,15.36,0.9578,73.56,73.56,73.56,1.0,1.0,,,1.384,measured
dense,dense,G3,1024x1024,1048576,3,1,1024,1024,32,8192,256,27.7848,27.3067,0.9828,75.48,75.48,75.48,1.0,1.0,,,2.95,measured
dense,dense,G4,3072x768,2359296,4,1,3072,768,24,18432,114,63.3179,61.44,0.9703,74.52,74.52,74.52,1.0,1.0,,,3.28,measured
dense,dense,G5,768x3072,2359296,5,1,768,3072,96,18432,114,63.8128,61.44,0.9628,73.94,73.94,73.94,1.0,1.0,,,1.978,measured
dense,dense,G6,4096x1024,4194304,6,1,4096,1024,32,32768,64,113.5937,109.2267,0.9616,73.85,73.85,73.85,1.0,1.0,,,0.131,measured
dense,dense,G7,1024x4096,4194304,7,1,1024,4096,128,32768,64,113.0586,109.2267,0.9661,74.2,74.2,74.2,1.0,1.0,,,0.769,measured
dense,dense,G8,2048x2048,4194304,8,1,2048,2048,64,32768,64,112.6688,109.2267,0.9694,74.45,74.45,74.45,1.0,1.0,,,2.467,measured
dense,dense,G9,4096x4096,16777216,9,1,4096,4096,128,131072,16,452.4202,436.9067,0.9657,74.17,74.17,74.17,1.0,1.0,,,1.555,measured
dense,dense,G10,8192x2048,16777216,10,1,8192,2048,64,131072,16,453.9778,436.9067,0.9624,73.91,73.91,73.91,1.0,1.0,,,0.217,measured
dense,dense,G11,2048x8192,16777216,11,1,2048,8192,256,131072,16,454.7025,436.9067,0.9609,73.79,73.79,73.79,1.0,1.0,,,2.736,measured
dense,dense,GEOMEAN,,,12,1,,,,,,,,0.9659,74.18,,,1.0,1.0,,,,measured
sparse,2:4,G1,512x512,262144,1,2,512,512,16,1024,2048,3.5338,3.4133,0.9659,148.36,74.18,102.0,2.0023,0.4994,2.0,100.11,1.587,measured
sparse,2:4,G2,768x768,589824,2,2,768,768,24,2304,911,7.8966,7.68,0.9726,149.39,74.69,102.7,2.0307,0.4924,2.0,101.54,0.659,measured
sparse,2:4,G3,1024x1024,1048576,3,2,1024,1024,32,4096,512,14.2399,13.6533,0.9588,147.27,73.64,101.25,1.9512,0.5125,2.0,97.56,0.28,measured
sparse,2:4,G4,3072x768,2359296,4,2,3072,768,24,9216,228,31.9946,30.72,0.9602,147.48,73.74,101.39,1.979,0.5053,2.0,98.95,1.176,measured
sparse,2:4,G5,768x3072,2359296,5,2,768,3072,96,9216,228,31.8702,30.72,0.9639,148.06,74.03,101.79,2.0023,0.4994,2.0,100.11,0.564,measured
sparse,2:4,G6,4096x1024,4194304,6,2,4096,1024,32,16384,128,56.2487,54.6133,0.9709,149.13,74.57,102.53,2.0195,0.4952,2.0,100.97,1.65,measured
sparse,2:4,G7,1024x4096,4194304,7,2,1024,4096,128,16384,128,56.5902,54.6133,0.9651,148.23,74.12,101.91,1.9978,0.5005,2.0,99.89,0.692,measured
sparse,2:4,G8,2048x2048,4194304,8,2,2048,2048,64,16384,128,57.058,54.6133,0.9572,147.02,73.51,101.08,1.9746,0.5064,2.0,98.73,1.701,measured
sparse,2:4,G9,4096x4096,16777216,9,2,4096,4096,128,65536,32,223.9066,218.4533,0.9756,149.86,74.93,103.03,2.0206,0.4949,2.0,101.03,1.917,measured
sparse,2:4,G10,8192x2048,16777216,10,2,8192,2048,64,65536,32,226.7357,218.4533,0.9635,147.99,73.99,101.74,2.0022,0.4994,2.0,100.11,1.329,measured
sparse,2:4,G11,2048x8192,16777216,11,2,2048,8192,256,65536,32,225.1055,218.4533,0.9704,149.06,74.53,102.48,2.02,0.4951,2.0,101.0,0.099,measured
sparse,2:4,GEOMEAN,,,12,2,,,,,,,,0.9658,148.35,,,1.9999,0.5,2.0,99.99,,measured
sparse,2:8,G1,512x512,262144,1,3,512,512,16,512,4096,1.8181,1.7067,0.9387,288.37,72.09,99.13,3.8918,0.2569,4.0,97.3,2.141,measured
sparse,2:8,G2,768x768,589824,2,3,768,768,24,1152,1821,4.0381,3.84,0.9509,292.13,73.03,100.42,3.9712,0.2518,4.0,99.28,2.463,measured
sparse,2:8,G3,1024x1024,1048576,3,3,1024,1024,32,2048,1024,7.175,6.8267,0.9514,292.28,73.07,100.47,3.8724,0.2582,4.0,96.81,0.323,measured
sparse,2:8,G4,3072x768,2359296,4,3,3072,768,24,4608,456,16.0976,15.36,0.9542,293.12,73.28,100.76,3.9334,0.2542,4.0,98.33,0.969,measured
sparse,2:8,G5,768x3072,2359296,5,3,768,3072,96,4608,456,15.9243,15.36,0.9646,296.31,74.08,101.86,4.0073,0.2495,4.0,100.18,0.327,measured
sparse,2:8,G6,4096x1024,4194304,6,3,4096,1024,32,8192,256,28.4773,27.3067,0.9589,294.57,73.64,101.26,3.9889,0.2507,4.0,99.72,1.735,measured
sparse,2:8,G7,1024x4096,4194304,7,3,1024,4096,128,8192,256,28.3859,27.3067,0.962,295.52,73.88,101.59,3.9829,0.2511,4.0,99.57,0.576,measured
sparse,2:8,G8,2048x2048,4194304,8,3,2048,2048,64,8192,256,28.4299,27.3067,0.9605,295.06,73.77,101.43,3.963,0.2523,4.0,99.08,1.217,measured
sparse,2:8,G9,4096x4096,16777216,9,3,4096,4096,128,32768,64,113.8756,109.2267,0.9592,294.66,73.66,101.29,3.9729,0.2517,4.0,99.32,0.876,measured
sparse,2:8,G10,8192x2048,16777216,10,3,8192,2048,64,32768,64,113.8514,109.2267,0.9594,294.72,73.68,101.31,3.9875,0.2508,4.0,99.69,0.344,measured
sparse,2:8,G11,2048x8192,16777216,11,3,2048,8192,256,32768,64,113.2006,109.2267,0.9649,296.42,74.1,101.89,4.0168,0.249,4.0,100.42,0.857,measured
sparse,2:8,GEOMEAN,,,12,3,,,,,,,,0.9568,293.92,,,3.9623,0.2524,4.0,99.06,,measured
sparse,2:16,G1,512x512,262144,1,4,512,512,16,256,8192,0.9125,0.8533,0.9351,574.54,71.82,98.75,7.7542,0.129,8.0,96.93,1.261,measured
sparse,2:16,G2,768x768,589824,2,4,768,768,24,576,3641,2.0399,1.92,0.9412,578.28,72.29,99.39,7.8612,0.1272,8.0,98.26,1.041,measured
sparse,2:16,G3,1024x1024,1048576,3,4,1024,1024,32,1024,2048,3.5752,3.4133,0.9547,586.58,73.32,100.82,7.7715,0.1287,8.0,97.14,1.949,measured
sparse,2:16,G4,3072x768,2359296,4,4,3072,768,24,2304,911,8.0447,7.68,0.9547,586.55,73.32,100.81,7.8708,0.1271,8.0,98.38,1.738,measured
sparse,2:16,G5,768x3072,2359296,5,4,768,3072,96,2304,911,7.9033,7.68,0.9717,597.04,74.63,102.62,8.0742,0.1239,8.0,100.93,2.465,measured
sparse,2:16,G6,4096x1024,4194304,6,4,4096,1024,32,4096,512,14.2766,13.6533,0.9563,587.58,73.45,100.99,7.9566,0.1257,8.0,99.46,0.954,measured
sparse,2:16,G7,1024x4096,4194304,7,4,1024,4096,128,4096,512,14.1765,13.6533,0.9631,591.73,73.97,101.7,7.9751,0.1254,8.0,99.69,0.616,measured
sparse,2:16,G8,2048x2048,4194304,8,4,2048,2048,64,4096,512,14.0804,13.6533,0.9697,595.76,74.47,102.4,8.0018,0.125,8.0,100.02,1.255,measured
sparse,2:16,G9,4096x4096,16777216,9,4,4096,4096,128,16384,128,56.5787,54.6133,0.9653,593.06,74.13,101.93,7.9963,0.1251,8.0,99.95,1.635,measured
sparse,2:16,G10,8192x2048,16777216,10,4,8192,2048,64,16384,128,56.9705,54.6133,0.9586,588.98,73.62,101.23,7.9686,0.1255,8.0,99.61,0.257,measured
