row_order,serpens_id,matrix,vertices,nnz,nnz_table3,nnz_disagree_pct,serpens_ms,serpens_gflops_paper,serpens_mteps_paper,serpens_gflops_from_time,serpens_gflops_drift_pct,serpens_mac_rate_G,serpens_occupancy,serpens_stream_ms,serpens_stream_pct,serpens_compute_ms,thesis_ms,thesis_mac_rate_G,thesis_occupancy,thesis_clock_mhz,speedup_raw,speedup_compute_only,data_source
1,G1,googleplus,108000,13651000,13700000,0.36,1.87,14.71,7300,14.6,0.75,7.3,0.2557,0.0605,3.24,1.8095,0.367,37.197,0.9687,300.0,5.095,4.93,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
2,G2,crankseg_2,63800,14149020,14100000,-0.35,0.93,30.56,15214,30.43,0.43,15.214,0.533,0.0358,3.85,0.8942,0.3804,37.197,0.9687,300.0,2.445,2.351,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
3,G3,Si41Ge41H72,186000,15007682,15000000,-0.05,0.853,35.62,17594,35.19,1.23,17.594,0.6164,0.1043,12.22,0.7487,0.4035,37.197,0.9687,300.0,2.114,1.856,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
4,G4,TSOPF_RS_b2383,38100,16165120,16200000,0.22,0.73,44.39,22144,44.29,0.23,22.144,0.7758,0.0214,2.93,0.7086,0.4346,37.197,0.9687,300.0,1.68,1.631,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
5,G5,ML_Laplace,377000,27535630,27600000,0.23,1.37,40.75,20099,40.2,1.37,20.099,0.7041,0.2113,15.43,1.1587,0.7403,37.197,0.9687,300.0,1.851,1.565,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
6,G6,mouse_gene,45100,28904260,29000000,0.33,1.37,42.26,21098,42.2,0.15,21.098,0.7391,0.0253,1.85,1.3447,0.7771,37.197,0.9687,300.0,1.763,1.731,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
7,G7,soc_pokec,1630000,30654640,30600000,-0.18,4.52,14.29,6782,13.56,5.35,6.782,0.2376,0.9137,20.21,3.6063,0.8241,37.197,0.9687,300.0,5.485,4.376,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
8,G8,coPapersCiteseer,434000,32027160,21100000,-34.12,2.09,31.06,15324,30.65,1.34,15.324,0.5369,0.2433,11.64,1.8467,0.861,37.197,0.9687,300.0,2.427,2.145,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
9,G9,PFlow_742,743000,37191100,37100000,-0.24,2.05,37.01,18142,36.28,2.0,18.142,0.6356,0.4165,20.32,1.6335,0.9998,37.197,0.9687,300.0,2.05,1.634,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
10,G10,ogbl_ppa,576000,42527880,42500000,-0.07,2.04,42.26,20847,41.69,1.36,20.847,0.7303,0.3229,15.83,1.7171,1.1433,37.197,0.9687,300.0,1.784,1.502,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
11,G11,hollywood,1070000,112691200,113000000,0.27,6.2,36.7,18176,36.35,0.96,18.176,0.6368,0.5998,9.67,5.6002,3.0296,37.197,0.9687,300.0,2.046,1.849,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
12,G12,ogbn_products,2450000,123650800,124000000,0.28,6.32,39.9,19565,39.13,1.97,19.565,0.6854,1.3733,21.73,4.9467,3.3242,37.197,0.9687,300.0,1.901,1.488,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
13,GEOMEAN,,,,,,,,,,,,0.5562,,,,,37.197,0.9687,300.0,2.343,2.065,"shapes_H1_300MHz.csv row H1 (2:32 @ 300 MHz), MEASURED"
