design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,16x3,16,3,48,MIXED,350.0,G1,512,512,16,12,64,720,2913,2097360,6767.849,635.955,auto,0.998876,50.47,2.105,2.0571,0.9773,249.07,65.67,87.56,184320,0.69,6796.366 6749.770 6757.411
sparse,16x3,16,3,48,MIXED,350.0,G2,768,768,24,16,0,1440,1457,2098080,6750.152,635.955,auto,0.998876,50.47,4.1964,4.1143,0.9804,281.11,65.88,87.85,368640,1.458,6810.502 6727.298 6712.657
sparse,16x3,16,3,48,MIXED,350.0,G3,1024,1024,32,24,128,2880,729,2099520,6708.118,635.955,auto,0.998876,50.47,8.3294,8.2286,0.9879,251.78,66.39,88.51,737280,1.564,6668.234 6683.581 6772.538
sparse,16x3,16,3,48,MIXED,350.0,G4,3072,768,24,64,0,5760,365,2102400,6688.833,635.955,auto,0.998876,50.47,16.5832,16.4571,0.9924,284.54,66.69,88.92,1474560,2.895,6761.336 6734.079 6571.083
sparse,16x3,16,3,48,MIXED,350.0,G5,768,3072,96,16,0,5760,365,2102400,6681.827,635.955,auto,0.998876,50.47,16.564,16.4571,0.9935,284.87,66.77,89.02,1474560,0.727,6674.538 6709.688 6661.255
sparse,16x3,16,3,48,MIXED,350.0,G6,4096,1024,32,88,128,10560,199,2101440,6667.361,635.955,auto,0.998876,50.47,30.3086,30.1714,0.9955,276.77,66.9,89.19,2703360,2.863,6550.940 6738.475 6712.669
sparse,16x3,16,3,48,MIXED,350.0,G7,1024,4096,128,24,128,11520,183,2108160,6723.768,635.955,auto,0.998876,50.47,33.2667,32.9143,0.9894,252.16,66.49,88.65,2949120,0.868,6691.800 6729.591 6749.912
sparse,16x3,16,3,48,MIXED,350.0,G8,2048,2048,64,44,64,10560,199,2101440,6705.834,635.955,auto,0.998876,50.47,30.5019,30.1714,0.9892,275.02,66.47,88.63,2703360,0.718,6675.660 6718.233 6723.609
sparse,16x3,16,3,48,MIXED,350.0,G9,4096,4096,128,88,128,42240,50,2112000,6675.982,635.955,auto,0.998876,50.47,120.8005,120.6857,0.999,277.77,67.14,89.51,10813440,2.045,6684.809 6739.095 6604.043
sparse,16x3,16,3,48,MIXED,350.0,G10,8192,2048,64,172,64,41280,51,2105280,6603.014,635.955,auto,0.998876,50.47,117.0011,117.9429,1.008,286.79,67.74,90.32,10567680,2.323,6519.563 6618.448 6671.030
sparse,16x3,16,3,48,MIXED,350.0,G11,2048,8192,256,44,64,42240,50,2112000,6697.783,635.955,auto,0.998876,50.47,121.2366,120.6857,0.9955,276.77,66.89,89.19,10813440,0.288,6686.919 6700.254 6706.175
