design,config,cores,blocks,lanes,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,laps_per_matrix,padding_rows,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,overhead_method,overhead_fit_r2,overhead_fit_se_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,4x32,4,32,128,2:8,250.0,G1,512,512,16,4,0,256,8192,2097152,10026.241,1315.675,auto,0.998376,87.63,1.0633,1.024,0.963,493.08,123.27,169.49,180224,0.169,10035.499 10018.611 10024.612
sparse,4x32,4,32,128,2:8,250.0,G2,768,768,24,6,0,576,3641,2097216,10004.608,1315.675,auto,0.998376,87.63,2.3864,2.304,0.9655,494.32,123.58,169.92,405504,1.283,9974.403 9955.847 10083.574
sparse,4x32,4,32,128,2:8,250.0,G3,1024,1024,32,8,0,1024,2048,2097152,9968.997,1315.675,auto,0.998376,87.63,4.2253,4.096,0.9694,496.34,124.08,170.62,720896,0.19,9967.234 9979.343 9960.414
sparse,4x32,4,32,128,2:8,250.0,G4,3072,768,24,24,0,2304,911,2098944,10006.068,1315.675,auto,0.998376,87.63,9.5394,9.216,0.9661,494.64,123.66,170.03,1622016,0.667,10029.264 9962.852 10026.087
sparse,4x32,4,32,128,2:8,250.0,G5,768,3072,96,6,0,2304,911,2098944,9942.741,1315.675,auto,0.998376,87.63,9.4699,9.216,0.9732,498.27,124.57,171.28,1622016,2.655,9891.762 10098.816 9837.646
sparse,4x32,4,32,128,2:8,250.0,G6,4096,1024,32,32,0,4096,512,2097152,9929.547,1315.675,auto,0.998376,87.63,16.824,16.384,0.9738,498.61,124.65,171.4,2883584,1.544,9846.278 9944.087 9998.275
sparse,4x32,4,32,128,2:8,250.0,G7,1024,4096,128,8,0,4096,512,2097152,9960.087,1315.675,auto,0.998376,87.63,16.8836,16.384,0.9704,496.85,124.21,170.79,2883584,2.606,10060.828 9805.333 10014.101
sparse,4x32,4,32,128,2:8,250.0,G8,2048,2048,64,16,0,4096,512,2097152,9918.544,1315.675,auto,0.998376,87.63,16.8025,16.384,0.9751,499.25,124.81,171.62,2883584,1.581,9838.043 9993.573 9924.016
sparse,4x32,4,32,128,2:8,250.0,G9,4096,4096,128,32,0,16384,128,2097152,9845.325,1315.675,auto,0.998376,87.63,66.6379,65.536,0.9835,503.53,125.88,173.09,11534336,2.875,9904.627 9954.759 9676.588
sparse,4x32,4,32,128,2:8,250.0,G10,8192,2048,64,64,0,16384,128,2097152,9951.09,1315.675,auto,0.998376,87.63,67.4642,65.536,0.9714,497.37,124.34,170.97,11534336,1.335,10026.500 9894.383 9932.387
sparse,4x32,4,32,128,2:8,250.0,G11,2048,8192,256,16,0,16384,128,2097152,9960.751,1315.675,auto,0.998376,87.63,67.5397,65.536,0.9703,496.81,124.2,170.78,11534336,1.07,9971.033 9902.631 10008.590
