active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual,board_load_w,board_idle_w,vccint_load_w,vccint_idle_w,static_share_pct,energy_per_row_nJ,energy_per_mac_pJ
6240.988,1.0,,94.93,6257.182 6211.930 6253.853,sparse_8x4_x3_375.xclbin,354.0,3,0,1,0,1048576,6651.04,6602.924,6714.277,1.686,157.664,20.181,0.8907,89.07,1.0,no-golden,,,n/a,3.26,40,6714.277 6602.924 6635.919,,,,,,,,
6201.826,1.0,,95.53,6201.136 6197.897 6206.446,sparse_8x4_x3_375.xclbin,354.0,3,1,1,1,524288,6596.006,6579.154,6613.388,0.52,79.486,20.348,0.898,89.8,1.0,no-golden,,,n/a,3.4,40,6579.154 6595.477 6613.388,,,,,,,,
6239.73,1.0,,94.93,6252.767 6220.811 6245.613,sparse_8x4_x3_375.xclbin,354.0,3,2,1,2,1048576,6608.332,6584.123,6646.867,0.953,158.678,20.311,0.8963,89.63,1.0,no-golden,,,n/a,3.4,40,6646.867 6594.007 6584.123,,,,,,,,
6286.054,1.0072,94.77,94.23,6274.621 6289.995 6293.547,sparse_8x4_x3_375.xclbin,354.0,3,0+1,2,0,1048576,6658.157,6643.19,6680.213,0.557,157.488,20.159,0.89,89.0,1.0011,no-golden,6866.286,91.07,n/a,3.53,40,6651.069 6680.213 6643.190,,,,,,,,
6167.376,0.9944,94.77,96.07,6179.325 6172.423 6150.380,sparse_8x4_x3_375.xclbin,354.0,3,0+1,2,1,524288,6459.568,6435.588,6480.174,0.693,81.165,20.778,0.9173,91.73,0.9793,no-golden,6866.286,91.07,n/a,3.53,40,6462.942 6480.174 6435.588,,,,,,,,
6317.802,1.0123,90.67,93.8,6309.516 6311.468 6332.422,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,0,1048576,6671.263,6621.81,6716.42,1.429,157.183,20.12,0.888,88.8,1.003,no-golden,7187.697,83.57,n/a,3.48,40,6675.558 6716.420 6621.810,,,,,,,,
6201.278,0.9999,90.67,95.53,6201.793 6221.427 6180.613,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,1,524288,6456.703,6399.666,6509.328,1.714,81.204,20.788,0.9177,91.77,0.9789,no-golden,7187.697,83.57,n/a,3.48,40,6461.114 6509.328 6399.666,,,,,,,,
6245.265,1.0009,90.67,94.83,6239.859 6246.488 6249.449,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,2,1048576,6520.348,6490.002,6540.944,0.785,160.818,20.585,0.9087,90.87,0.9867,no-golden,7187.697,83.57,n/a,3.48,40,6490.002 6530.098 6540.944,,,,,,,,
,,,,,sparse_8x4_x3_375.xclbin,354.0,3,0,1,soak,,,,,,163.478,,,,,,60004000.0,,,,,t0=163.478,20.925,37.188,33.972,9.487,8.876,91.35,227.481,1777.21
,,,,,sparse_8x4_x3_375.xclbin,354.0,3,0+1,2,soak,,,,,,241.746,,,,,,60005000.0,,,,,t0=161.082 t1=80.663,41.2685,40.799,34.073,10.119,8.9,83.51,168.769,988.63
,,,,,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,soak,,,,,,399.726,,,,,,60005000.0,,,,,t0=159.597 t1=80.515 t2=159.614,61.4711,43.516,34.106,10.679,8.905,78.38,108.863,707.9
