active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual,board_load_w,board_idle_w,vccint_load_w,vccint_idle_w,static_share_pct,energy_per_row_nJ,energy_per_mac_pJ
6334.177,1.0,,93.5,6369.067 6333.683 6299.781,sparse_8x4_x3_375.xclbin,354.0,3,0,1,0,2097152,6714.231,6667.533,6742.347,1.122,312.352,19.991,0.8827,88.27,1.0,no-golden,,,n/a,5.91,40,6742.347 6732.812 6667.533,,,,,,,,
6544.987,1.0,,90.5,6529.596 6554.356 6551.009,sparse_8x4_x3_375.xclbin,354.0,3,1,1,1,4194304,6929.486,6893.725,6954.614,0.883,605.292,19.369,0.855,85.5,1.0,no-golden,,,n/a,5.84,40,6940.119 6893.725 6954.614,,,,,,,,
6237.64,1.0,,94.97,6201.704 6261.580 6249.636,sparse_8x4_x3_375.xclbin,354.0,3,2,1,2,1048576,6628.989,6611.612,6641.681,0.455,158.181,20.247,0.8937,89.37,1.0,no-golden,,,n/a,5.84,40,6611.612 6641.681 6633.673,,,,,,,,
6367.981,1.0053,92.83,93.07,6350.772 6373.421 6379.751,sparse_8x4_x3_375.xclbin,354.0,3,0+1,2,0,2097152,6814.854,6790.331,6861.837,1.053,307.74,19.695,0.869,86.9,1.015,no-golden,7281.139,86.93,n/a,5.77,40,6861.837 6790.331 6792.393,,,,,,,,
6505.665,0.994,92.83,91.07,6492.148 6509.438 6515.408,sparse_8x4_x3_375.xclbin,354.0,3,0+1,2,1,4194304,6798.991,6772.631,6812.682,0.591,616.906,19.741,0.8717,87.17,0.9812,no-golden,7281.139,86.93,n/a,5.77,40,6772.631 6811.659 6812.682,,,,,,,,
6415.044,1.0128,88.17,92.33,6439.540 6410.647 6394.945,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,0,2097152,6797.128,6731.009,6842.6,1.658,308.551,19.747,0.8717,87.17,1.0123,no-golden,7279.385,83.27,n/a,5.71,40,6842.600 6817.775 6731.009,,,,,,,,
6558.192,1.002,88.17,90.33,6541.888 6565.898 6566.790,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,1,4194304,6845.751,6842.476,6850.082,0.111,612.687,19.606,0.8657,86.57,0.9879,no-golden,7279.385,83.27,n/a,5.71,40,6842.476 6844.694 6850.082,,,,,,,,
6264.032,1.0042,88.17,94.57,6260.485 6259.793 6271.817,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,2,1048576,6544.364,6540.113,6548.783,0.133,160.226,20.509,0.9053,90.53,0.9872,no-golden,7279.385,83.27,n/a,5.71,40,6544.196 6540.113 6548.783,,,,,,,,
,,,,,sparse_8x4_x3_375.xclbin,354.0,3,0,1,soak,,,,,,324.134,,,,,,60003000.0,,,,,t0=324.134,20.7445,37.439,33.934,9.497,8.834,90.64,115.504,1804.76
,,,,,sparse_8x4_x3_375.xclbin,354.0,3,0+1,2,soak,,,,,,943.26,,,,,,60005000.0,,,,,t0=320.385 t1=622.875,40.4364,41.078,34.081,10.131,8.826,82.97,43.549,1015.87
,,,,,sparse_8x4_x3_375.xclbin,354.0,3,0+1+2,3,soak,,,,,,1097.699,,,,,,60005000.0,,,,,t0=318.217 t1=618.260 t2=161.223,60.7866,43.699,34.197,10.754,8.924,78.26,39.81,718.9
