active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual
5580.906,1.0,,94.17,5613.421 5543.205 5586.091,sparse_4x4_x3_400.xclbin,399.0,3,0,1,0,1048576,5830.639,5806.34,5844.559,0.658,179.841,11.51,0.9013,90.13,1.0,no-golden,,,n/a,3.24,40,5844.559 5806.340 5841.017,
5766.441,1.0,,91.13,5769.851 5762.067 5767.404,sparse_4x4_x3_400.xclbin,399.0,3,1,1,1,2097152,6018.578,5996.325,6055.731,0.991,348.453,11.151,0.8733,87.33,1.0,no-golden,,,n/a,3.24,40,6003.679 6055.731 5996.325,
5531.03,1.0,,95.0,5547.306 5520.578 5525.207,sparse_4x4_x3_400.xclbin,399.0,3,2,1,2,524288,5768.1,5745.692,5781.981,0.632,90.895,11.635,0.9113,91.13,1.0,no-golden,,,n/a,3.86,40,5781.981 5745.692 5776.627,
5600.689,1.0035,94.5,93.83,5596.922 5590.449 5614.696,sparse_4x4_x3_400.xclbin,399.0,3,0+1,2,0,1048576,5860.563,5835.89,5887.978,0.893,178.923,11.451,0.897,89.7,1.0051,no-golden,6175.679,90.17,n/a,3.86,40,5857.822 5835.890 5887.978,
5717.66,0.9915,94.5,91.93,5701.039 5723.535 5728.406,sparse_4x4_x3_400.xclbin,399.0,3,0+1,2,1,2097152,5883.456,5863.668,5905.457,0.713,356.452,11.407,0.8933,89.33,0.9775,no-golden,6175.679,90.17,n/a,3.86,40,5863.668 5881.242 5905.457,
5639.861,1.0106,91.87,93.2,5645.102 5642.430 5632.050,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,0,1048576,5880.424,5871.997,5884.753,0.217,178.316,11.412,0.8937,89.37,1.0085,no-golden,6150.698,88.1,n/a,4.28,40,5884.521 5884.753 5871.997,
5720.582,0.992,91.87,91.9,5727.915 5720.410 5713.420,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,1,2097152,5878.278,5866.771,5886.868,0.343,356.764,11.417,0.8943,89.43,0.9767,no-golden,6150.698,88.1,n/a,4.28,40,5886.868 5881.194 5866.771,
5489.581,0.9925,91.87,95.73,5496.714 5493.621 5478.409,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,2,524288,5651.93,5638.213,5674.26,0.639,92.763,11.874,0.9297,92.97,0.9799,no-golden,6150.698,88.1,n/a,4.28,40,5674.260 5643.317 5638.213,
,,,,,sparse_4x4_x3_400.xclbin,399.0,3,0,1,soak,,,,,,183.714,,,,,,60004000.0,,,,,t0=183.714,11.7576
,,,,,sparse_4x4_x3_400.xclbin,399.0,3,0+1,2,soak,,,,,,537.558,,,,,,60003000.0,,,,,t0=182.006 t1=355.553,23.0261
,,,,,sparse_4x4_x3_400.xclbin,399.0,3,0+1+2,3,soak,,,,,,627.706,,,,,,60005000.0,,,,,t0=182.033 t1=353.581 t2=92.091,34.7522
