active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual,board_load_w,board_idle_w,vccint_load_w,vccint_idle_w,static_share_pct,energy_per_row_nJ,energy_per_mac_pJ
5886.2,1.0,,95.27,5846.537 5915.865 5896.199,sparse_4x4_x4_375.xclbin,374.0,4,0,1,0,524288,6159.132,6130.328,6189.871,0.971,85.125,10.896,0.9107,91.07,1.0,no-golden,,,n/a,0.89,40,6130.328 6157.196 6189.871,,,,,,,,
5851.615,1.0,,95.8,5862.680 5850.336 5841.829,sparse_4x4_x4_375.xclbin,374.0,4,1,1,1,262144,6100.056,6094.881,6103.851,0.147,42.974,11.002,0.9193,91.93,1.0,no-golden,,,n/a,0.89,40,6101.435 6094.881 6103.851,,,,,,,,
5880.142,1.0,,95.37,5901.269 5854.398 5884.759,sparse_4x4_x4_375.xclbin,374.0,4,2,1,2,524288,6090.717,6044.252,6144.589,1.66,86.084,11.019,0.921,92.1,1.0,no-golden,,,n/a,1.06,40,6144.589 6083.311 6044.252,,,,,,,,
5837.871,1.0,,96.07,5844.826 5849.756 5819.031,sparse_4x4_x4_375.xclbin,374.0,4,3,1,3,262144,6065.945,6033.129,6088.768,0.922,43.217,11.063,0.9243,92.43,1.0,no-golden,,,n/a,1.06,40,6088.768 6075.937 6033.129,,,,,,,,
5909.001,1.0039,96.77,94.9,5907.430 5914.301 5905.272,sparse_4x4_x4_375.xclbin,374.0,4,0+1,2,0,524288,6138.227,6114.21,6151.963,0.617,85.414,10.933,0.9133,91.33,0.9966,no-golden,6215.057,94.53,n/a,1.06,40,6148.507 6151.963 6114.210,,,,,,,,
5795.032,0.9903,96.77,96.77,5802.594 5793.063 5789.440,sparse_4x4_x4_375.xclbin,374.0,4,0+1,2,1,262144,5951.65,5948.836,5954.798,0.1,44.045,11.276,0.9423,94.23,0.9757,no-golden,6215.057,94.53,n/a,1.06,40,5954.798 5948.836 5951.317,,,,,,,,
5921.293,1.006,93.67,94.67,5925.791 5925.544 5912.544,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,0,524288,6167.807,6154.97,6181.185,0.426,85.004,10.88,0.909,90.9,1.0014,no-golden,6472.347,87.93,n/a,1.38,40,6154.970 6181.185 6167.267,,,,,,,,
5830.204,0.9963,93.67,96.17,5832.267 5836.533 5821.812,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,1,262144,5990.873,5981.391,5996.293,0.249,43.758,11.202,0.9357,93.57,0.9821,no-golden,6472.347,87.93,n/a,1.38,40,5994.934 5981.391 5996.293,,,,,,,,
5851.41,0.9951,93.67,95.83,5838.173 5874.490 5841.566,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,2,524288,5996.093,5991.129,5998.992,0.131,87.438,11.192,0.9353,93.53,0.9845,no-golden,6472.347,87.93,n/a,1.38,40,5991.129 5998.992 5998.158,,,,,,,,
5922.993,1.0063,89.13,94.67,5927.860 5932.492 5908.626,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,0,524288,6196.073,6165.033,6241.435,1.239,84.618,10.831,0.905,90.5,1.006,no-golden,6718.921,81.23,n/a,1.51,40,6241.435 6181.751 6165.033,,,,,,,,
5841.655,0.9983,89.13,96.0,5837.302 5853.604 5834.060,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,1,262144,6021.925,5991.463,6064.881,1.225,43.533,11.144,0.9313,93.13,0.9872,no-golden,6718.921,81.23,n/a,1.51,40,6064.881 6009.431 5991.463,,,,,,,,
5857.994,0.9962,89.13,95.73,5854.945 5868.030 5851.006,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,2,524288,6039.405,6028.695,6056.552,0.462,86.811,11.112,0.9283,92.83,0.9916,no-golden,6718.921,81.23,n/a,1.51,40,6056.552 6032.967 6028.695,,,,,,,,
5800.703,0.9936,89.13,96.67,5790.980 5805.092 5806.036,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,3,262144,5976.883,5954.891,6010.121,0.927,43.86,11.228,0.9383,93.83,0.9853,no-golden,6718.921,81.23,n/a,1.51,40,6010.121 5954.891 5965.637,,,,,,,,
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0,1,soak,,,,,,87.282,,,,,,60002000.0,,,,,t0=87.282,11.1721,34.763,32.905,8.613,8.425,94.65,398.287,3111.61
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0+1,2,soak,,,,,,130.719,,,,,,60006000.0,,,,,t0=87.041 t1=43.678,22.3226,36.361,32.747,8.939,8.448,90.06,278.163,1628.89
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2,3,soak,,,,,,215.461,,,,,,60006000.0,,,,,t0=86.045 t1=43.363 t2=86.053,33.1295,38.483,32.937,9.294,8.417,85.59,178.606,1161.58
,,,,,sparse_4x4_x4_375.xclbin,374.0,4,0+1+2+3,4,soak,,,,,,258.723,,,,,,60002000.0,,,,,t0=86.059 t1=43.283 t2=86.111 t3=43.270,44.1953,40.345,33.041,9.63,8.417,81.9,155.939,912.88
