active_us_mean,interference_active,active_overlap_pct,act_eff_pct,active_runs,xclbin,clock_mhz,tenants_in_bitstream,set,set_size,tenant,rows_computed,span_us_mean,span_us_min,span_us_max,spread_pct,mrow_s,gmac_s,beats_per_cycle,eff_pct,interference,verified,union_us,overlap_pct,bit_exact,host_load_1min,host_cpus,runs,gmac_s_actual,board_load_w,board_idle_w,vccint_load_w,vccint_idle_w,static_share_pct,energy_per_row_nJ,energy_per_mac_pJ
6791.644,1.0,,93.87,6794.656 6789.576 6790.700,sparse_4x4_x5_375_split.xclbin,329.0,5,0,1,0,1048576,7019.939,7007.575,7034.231,0.38,149.372,9.56,0.908,90.8,1.0,no-golden,,,n/a,3.06,40,7018.012 7007.575 7034.231,,,,,,,,
6997.515,1.0,,91.1,7004.387 7000.784 6987.373,sparse_4x4_x5_375_split.xclbin,329.0,5,1,1,1,2097152,7224.301,7187.098,7246.098,0.821,290.295,9.289,0.8823,88.23,1.0,no-golden,,,n/a,2.9,40,7239.707 7246.098 7187.098,,,,,,,,
6680.693,1.0,,95.4,6682.295 6692.996 6666.788,sparse_4x4_x5_375_split.xclbin,329.0,5,2,1,2,524288,6938.799,6917.585,6968.629,0.738,75.56,9.672,0.9187,91.87,1.0,no-golden,,,n/a,2.9,40,6968.629 6930.182 6917.585,,,,,,,,
7386.428,1.0,,86.27,7390.787 7384.128 7384.369,sparse_4x4_x5_375_split.xclbin,329.0,5,3,1,3,4194304,7661.486,7635.11,7691.814,0.743,547.458,8.76,0.832,83.2,1.0,no-golden,,,n/a,2.9,40,7657.535 7691.814 7635.110,,,,,,,,
6628.89,1.0,,96.17,6628.165 6614.676 6643.830,sparse_4x4_x5_375_split.xclbin,329.0,5,4,1,4,262144,6865.088,6850.845,6874.3,0.342,38.185,9.775,0.9283,92.83,1.0,no-golden,,,n/a,2.9,40,6870.120 6850.845 6874.300,,,,,,,,
6820.764,1.0043,95.57,93.43,6801.435 6837.776 6823.081,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1,2,0,1048576,7073.163,7063.704,7091.038,0.387,148.248,9.488,0.901,90.1,1.0076,no-golden,7382.795,91.97,n/a,2.99,40,7063.704 7091.038 7064.748,,,,,,,,
6941.493,0.992,95.57,91.83,6936.216 6935.815 6952.447,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1,2,1,2097152,7098.33,7084.595,7118.813,0.483,295.444,9.454,0.898,89.8,0.9826,no-golden,7382.795,91.97,n/a,2.99,40,7084.595 7091.582 7118.813,,,,,,,,
6817.885,1.0039,92.07,93.5,6842.372 6802.331 6808.953,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2,3,0,1048576,7101.31,7057.044,7157.013,1.417,147.665,9.45,0.8977,89.77,1.0116,no-golden,7436.372,88.33,n/a,3.15,40,7157.013 7057.044 7089.874,,,,,,,,
6941.456,0.992,92.07,91.87,6969.886 6923.049 6931.432,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2,3,1,2097152,7111.278,7080.493,7170.574,1.272,294.915,9.437,0.8963,89.63,0.9844,no-golden,7436.372,88.33,n/a,3.15,40,7170.574 7080.493 7082.767,,,,,,,,
6675.284,0.9992,92.07,95.47,6652.819 6678.580 6694.452,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2,3,2,524288,6850.668,6833.466,6861.189,0.406,76.531,9.796,0.9307,93.07,0.9873,no-golden,7436.372,88.33,n/a,3.15,40,6857.349 6833.466 6861.189,,,,,,,,
6819.803,1.0041,85.03,93.47,6829.904 6806.430 6823.075,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3,4,0,1048576,7061.342,7041.384,7076.347,0.497,148.496,9.504,0.9027,90.27,1.0059,no-golden,8161.653,78.6,n/a,3.15,40,7076.347 7041.384 7066.294,,,,,,,,
6952.855,0.9936,85.03,91.7,6947.283 6954.715 6956.568,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3,4,1,2097152,7103.865,7096.722,7110.497,0.194,295.213,9.447,0.897,89.7,0.9833,no-golden,8161.653,78.6,n/a,3.15,40,7104.377 7110.497 7096.722,,,,,,,,
6689.546,1.0013,85.03,95.27,6696.031 6671.884 6700.723,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3,4,2,524288,6845.896,6833.933,6854.527,0.301,76.584,9.803,0.9313,93.13,0.9866,no-golden,8161.653,78.6,n/a,3.15,40,6854.527 6833.933 6849.228,,,,,,,,
7356.406,0.9959,85.03,86.67,7353.446 7351.494 7364.278,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3,4,3,4194304,7515.813,7512.745,7521.805,0.121,558.064,8.929,0.8477,84.77,0.981,no-golden,8161.653,78.6,n/a,3.15,40,7512.889 7512.745 7521.805,,,,,,,,
6854.019,1.0092,83.9,93.0,6862.879 6855.170 6844.009,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3+4,5,0,1048576,7086.118,7052.117,7127.164,1.064,147.979,9.471,0.8993,89.93,1.0094,no-golden,8093.16,77.93,n/a,3.36,40,7052.117 7127.164 7079.074,,,,,,,,
6993.225,0.9994,83.9,91.13,6996.742 7002.941 6979.992,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3+4,5,1,2097152,7138.888,7108.99,7162.551,0.753,293.767,9.4,0.893,89.3,0.9882,no-golden,8093.16,77.93,n/a,3.36,40,7108.990 7162.551 7145.123,,,,,,,,
6711.142,1.0046,83.9,95.0,6690.900 6712.911 6729.616,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3+4,5,2,524288,6853.695,6797.135,6893.016,1.411,76.5,9.792,0.9303,93.03,0.9877,no-golden,8093.16,77.93,n/a,3.36,40,6797.135 6870.935 6893.016,,,,,,,,
7340.64,0.9938,83.9,86.83,7334.012 7319.885 7368.024,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3+4,5,3,4194304,7482.241,7439.13,7526.182,1.17,560.58,8.969,0.852,85.2,0.9766,no-golden,8093.16,77.93,n/a,3.36,40,7439.130 7481.410 7526.182,,,,,,,,
6627.95,0.9999,83.9,96.17,6621.244 6651.865 6610.741,sparse_4x4_x5_375_split.xclbin,329.0,5,0+1+2+3+4,5,4,262144,6775.253,6731.672,6814.82,1.235,38.692,9.905,0.9407,94.07,0.9869,no-golden,8093.16,77.93,n/a,3.36,40,6731.672 6814.820 6779.268,,,,,,,,
,,,,,sparse_4x4_x5_375_split.xclbin,329.0,5,0,1,soak,,,,,,152.02,,,,,,60002000.0,,,,,t0=152.020,9.7293,35.293,33.602,8.97,8.525,95.21,232.163,3627.52
