dimensions,coop_latency_per_matrix_us,single_latency_per_matrix_us,speedup,speedup_ideal,shape,M_rows,N_cols,nwin,laps_per_quarter,padding_rows,batch_R_coop,batch_R_single,beats_per_matrix_t0,beats_per_matrix_t1,beats_per_matrix_t2,beats_per_matrix_t3,beats_per_matrix_single,coop_ideal_per_matrix_us,single_ideal_per_matrix_us,coop_occupancy,single_occupancy,coop_union_mean_us,single_span_mean_us,coop_spread_pct,single_spread_pct,active_us_t0,active_us_t1,active_us_t2,active_us_t3,overhead_coop_us,overhead_coop_se_us,overhead_single_us,overhead_single_se_us,clock_mhz,xclbin,host_load_1min,runs_coop,runs_single,coop_energy_static_uJ,coop_energy_dynamic_uJ,coop_energy_pJ_per_element,coop_soak_s,coop_soak_jobs,coop_soak_gmac_s,coop_soak_board_load_W,coop_soak_board_idle_W,coop_soak_vccint_load_W,coop_soak_vccint_idle_W,single_energy_static_uJ,single_energy_dynamic_uJ,single_energy_pJ_per_element,single_soak_s,single_soak_jobs,single_soak_gmac_s,single_soak_board_load_W,single_soak_board_idle_W,single_soak_vccint_load_W,single_soak_vccint_idle_W
512x512,2.9339,5.3751,1.8321,1.875,G1,512,512,16,8,0,2048,1093,1024,512,256,128,1920,2.738,5.1337,0.9332,0.9551,6677.717,6129.299,1.598,1.128,5849.39,3039.237,1601.537,911.792,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,4.77,6675.234 6626.006 6731.910,6147.331 6154.614 6085.953,95.073,9.996,400.806,60.0,3407,21.433,35.812,32.405,8.615,8.101,175.089,9.38,703.69,60.0,3442,11.559,34.319,32.574,8.435,8.134
768x768,6.6297,12.0253,1.8139,1.875,G2,768,768,24,12,0,911,486,2304,1152,576,288,4320,6.1604,11.5508,0.9292,0.9605,6708.785,6098.579,0.612,1.576,5850.307,3009.515,1582.163,873.778,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,5.03,6732.600 6691.677 6702.078,6037.627 6132.754 6125.357,214.835,22.587,402.532,60.0,3407,21.433,35.812,32.405,8.615,8.101,391.712,20.984,699.694,60.0,3442,11.559,34.319,32.574,8.435,8.134
1024x1024,11.6976,21.3815,1.8279,1.875,G3,1024,1024,32,16,0,512,274,4096,2048,1024,512,7680,10.9519,20.5348,0.9362,0.9604,6658.35,6112.825,1.077,0.423,5839.562,3010.223,1572.846,884.967,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,5.19,6702.716 6631.299 6641.034,6128.884 6106.521 6103.071,379.061,39.854,399.508,60.0,3407,21.433,35.812,32.405,8.615,8.101,696.481,37.311,699.798,60.0,3442,11.559,34.319,32.574,8.435,8.134
3072x768,26.3401,48.237,1.8313,1.875,G4,3072,768,24,48,0,228,122,9216,4608,2304,1152,17280,24.6417,46.2032,0.9355,0.9578,6674.714,6139.201,1.876,0.621,5829.353,3013.355,1586.874,887.563,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,5.01,6722.072 6703.813 6598.257,6140.540 6119.529 6157.535,853.551,89.741,399.819,60.0,3407,21.433,35.812,32.405,8.615,8.101,1571.272,84.174,701.669,60.0,3442,11.559,34.319,32.574,8.435,8.134
768x3072,26.3182,49.9079,1.8963,1.875,G5,768,3072,96,12,0,228,122,9216,4608,2304,1152,17280,24.6417,46.2032,0.9363,0.9258,6669.722,6343.051,1.484,12.74,5830.619,3028.615,1564.632,858.649,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,4.85,6616.931 6677.132 6715.102,6078.951 6853.429 6096.774,852.841,89.666,399.487,60.0,3407,21.433,35.812,32.405,8.615,8.101,1625.7,87.089,725.975,60.0,3442,11.559,34.319,32.574,8.435,8.134
4096x1024,46.8823,85.6078,1.826,1.875,G6,4096,1024,32,64,0,128,69,16384,8192,4096,2048,30720,43.8075,82.139,0.9344,0.9595,6670.097,6161.226,1.815,0.987,5831.898,2992.494,1581.42,882.308,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,4.86,6656.879 6736.768 6616.645,6148.963 6137.071 6197.643,1519.221,159.728,400.293,60.0,3407,21.433,35.812,32.405,8.615,8.101,2788.588,149.386,700.468,60.0,3442,11.559,34.319,32.574,8.435,8.134
1024x4096,46.4926,85.1206,1.8308,1.875,G7,1024,4096,128,16,0,128,69,16384,8192,4096,2048,30720,43.8075,82.139,0.9422,0.965,6620.223,6127.605,1.564,0.477,5829.654,3002.651,1563.106,858.834,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,4.58,6558.811 6661.419 6640.439,6117.147 6146.343 6119.326,1506.593,158.4,396.965,60.0,3407,21.433,35.812,32.405,8.615,8.101,2772.718,148.535,696.481,60.0,3442,11.559,34.319,32.574,8.435,8.134
2048x2048,46.895,84.9101,1.8106,1.875,G8,2048,2048,64,32,0,128,69,16384,8192,4096,2048,30720,43.8075,82.139,0.9342,0.9674,6671.733,6113.083,1.645,0.99,5817.955,2995.773,1571.463,868.634,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,4.53,6736.386 6627.395 6651.418,6136.201 6076.034 6127.013,1519.632,159.771,400.401,60.0,3407,21.433,35.812,32.405,8.615,8.101,2765.862,148.168,694.759,60.0,3442,11.559,34.319,32.574,8.435,8.134
4096x4096,186.0798,339.7585,1.8259,1.875,G9,4096,4096,128,64,0,32,18,65536,32768,16384,8192,122880,175.2299,328.5561,0.9417,0.967,6623.722,6369.937,0.978,1.601,5822.612,2977.033,1564.311,855.852,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,4.57,6625.724 6654.938 6590.505,6393.584 6408.609 6307.617,6029.916,633.974,397.199,60.0,3407,21.433,35.812,32.405,8.615,8.101,11067.293,592.879,695.0,60.0,3442,11.559,34.319,32.574,8.435,8.134
8192x2048,186.2386,340.5125,1.8284,1.875,G10,8192,2048,64,128,0,32,18,65536,32768,16384,8192,122880,175.2299,328.5561,0.9409,0.9649,6628.803,6383.51,0.553,1.46,5808.784,2994.619,1569.53,870.385,669.17,94.46,254.28,32.14,374.0,sparse_4x4_x4_375.xclbin,4.6,6620.145 6614.854 6651.409,6367.537 6437.801 6345.192,6035.062,634.515,397.538,60.0,3407,21.433,35.812,32.405,8.615,8.101,11091.854,594.194,696.543,60.0,3442,11.559,34.319,32.574,8.435,8.134
