design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:4,325.0,G1,512,512,16,1024,2048,2097152,7300.657,619.1,3.2625,3.1508,0.9658,160.7,80.35,110.48,360448,1.688,7346.542 7224.623 7330.805
sparse,2:4,325.0,G2,768,768,24,2304,911,2098944,7304.467,619.1,7.3385,7.0892,0.966,160.75,80.37,110.51,811008,0.62,7315.168 7276.557 7321.676
sparse,2:4,325.0,G3,1024,1024,32,4096,512,2097152,7323.739,619.1,13.095,12.6031,0.9624,160.15,80.07,110.1,1441792,1.585,7261.105 7333.926 7376.186
sparse,2:4,325.0,G4,3072,768,24,9216,228,2101248,7327.682,619.1,29.4236,28.3569,0.9637,160.37,80.18,110.25,3244032,0.593,7314.942 7355.740 7312.363
sparse,2:4,325.0,G5,768,3072,96,9216,228,2101248,7237.055,619.1,29.0261,28.3569,0.9769,162.56,81.28,111.76,3244032,0.763,7234.141 7211.008 7266.017
sparse,2:4,325.0,G6,4096,1024,32,16384,128,2097152,7283.606,619.1,52.0665,50.4123,0.9682,161.11,80.56,110.77,5767168,1.989,7196.978 7340.150 7313.691
sparse,2:4,325.0,G7,1024,4096,128,16384,128,2097152,7286.341,619.1,52.0878,50.4123,0.9678,161.05,80.52,110.72,5767168,1.179,7251.116 7271.325 7336.582
sparse,2:4,325.0,G8,2048,2048,64,16384,128,2097152,7273.832,619.1,51.9901,50.4123,0.9697,161.35,80.68,110.93,5767168,0.662,7257.641 7258.196 7305.659
sparse,2:4,325.0,G9,4096,4096,128,65536,32,2097152,7224.809,619.1,206.4284,201.6492,0.9768,162.55,81.27,111.75,23068672,1.897,7139.129 7274.578 7260.721
sparse,2:4,325.0,G10,8192,2048,64,65536,32,2097152,7279.277,619.1,208.1305,201.6492,0.9689,161.22,80.61,110.84,23068672,0.691,7290.196 7248.789 7298.846
sparse,2:4,325.0,G11,2048,8192,256,65536,32,2097152,7243.89,619.1,207.0247,201.6492,0.974,162.08,81.04,111.43,23068672,0.757,7264.786 7256.676 7210.208
