design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,2:4,300.0,G1,512,512,16,1024,2048,2097152,7856.408,619.1,3.5338,3.4133,0.9659,148.36,74.18,102.0,360448,1.587,7776.675 7892.473 7900.075
sparse,2:4,300.0,G2,768,768,24,2304,911,2098944,7812.865,619.1,7.8966,7.68,0.9726,149.39,74.69,102.7,811008,0.659,7825.396 7780.963 7832.237
sparse,2:4,300.0,G3,1024,1024,32,4096,512,2097152,7909.943,619.1,14.2399,13.6533,0.9588,147.27,73.64,101.25,1441792,0.28,7912.277 7919.833 7897.718
sparse,2:4,300.0,G4,3072,768,24,9216,228,2101248,7913.858,619.1,31.9946,30.72,0.9602,147.48,73.74,101.39,3244032,1.176,7958.183 7917.738 7865.652
sparse,2:4,300.0,G5,768,3072,96,9216,228,2101248,7885.497,619.1,31.8702,30.72,0.9639,148.06,74.03,101.79,3244032,0.564,7893.077 7903.876 7859.537
sparse,2:4,300.0,G6,4096,1024,32,16384,128,2097152,7818.938,619.1,56.2487,54.6133,0.9709,149.13,74.57,102.53,5767168,1.65,7737.536 7854.079 7865.200
sparse,2:4,300.0,G7,1024,4096,128,16384,128,2097152,7862.64,619.1,56.5902,54.6133,0.9651,148.23,74.12,101.91,5767168,0.692,7838.887 7855.901 7893.132
sparse,2:4,300.0,G8,2048,2048,64,16384,128,2097152,7922.526,619.1,57.058,54.6133,0.9572,147.02,73.51,101.08,5767168,1.701,7886.387 7873.646 8007.545
sparse,2:4,300.0,G9,4096,4096,128,65536,32,2097152,7784.112,619.1,223.9066,218.4533,0.9756,149.86,74.93,103.03,23068672,1.917,7841.633 7694.109 7816.593
sparse,2:4,300.0,G10,8192,2048,64,65536,32,2097152,7874.643,619.1,226.7357,218.4533,0.9635,147.99,73.99,101.74,23068672,1.329,7916.952 7813.093 7893.883
sparse,2:4,300.0,G11,2048,8192,256,65536,32,2097152,7822.477,619.1,225.1055,218.4533,0.9704,149.06,74.53,102.48,23068672,0.099,7826.407 7818.630 7822.393
