design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
dense,dense,325.0,G1,512,512,16,2048,1024,2097152,7189.041,457.9,6.5734,6.3015,0.9586,79.76,79.76,79.76,524288,0.511,7165.187 7201.794 7200.143
dense,dense,325.0,G2,768,768,24,4608,456,2101248,7195.1,457.9,14.7746,14.1785,0.9597,79.84,79.84,79.84,1179648,0.512,7201.281 7210.383 7173.636
dense,dense,325.0,G3,1024,1024,32,8192,256,2097152,7153.591,457.9,26.155,25.2062,0.9637,80.18,80.18,80.18,2097152,0.548,7127.550 7166.622 7166.600
dense,dense,325.0,G4,3072,768,24,18432,114,2101248,7202.279,457.9,59.1612,56.7138,0.9586,79.76,79.76,79.76,4718592,0.423,7187.357 7201.713 7217.768
dense,dense,325.0,G5,768,3072,96,18432,114,2101248,7212.089,457.9,59.2473,56.7138,0.9572,79.64,79.64,79.64,4718592,0.318,7220.630 7217.924 7197.712
dense,dense,325.0,G6,4096,1024,32,32768,64,2097152,7182.145,457.9,105.0663,100.8246,0.9596,79.84,79.84,79.84,8388608,0.428,7180.276 7167.737 7198.423
dense,dense,325.0,G7,1024,4096,128,32768,64,2097152,7189.319,457.9,105.1784,100.8246,0.9586,79.76,79.76,79.76,8388608,1.162,7232.863 7185.296 7149.797
dense,dense,325.0,G8,2048,2048,64,32768,64,2097152,7189.433,457.9,105.1802,100.8246,0.9586,79.75,79.75,79.75,8388608,0.633,7178.630 7217.548 7172.121
dense,dense,325.0,G9,4096,4096,128,131072,16,2097152,7135.81,457.9,417.3694,403.2985,0.9663,80.4,80.4,80.4,33554432,1.926,7093.454 7088.712 7225.263
dense,dense,325.0,G10,8192,2048,64,131072,16,2097152,7168.232,457.9,419.3958,403.2985,0.9616,80.01,80.01,80.01,33554432,1.046,7125.357 7179.477 7199.863
dense,dense,325.0,G11,2048,8192,256,131072,16,2097152,7195.826,457.9,421.1204,403.2985,0.9577,79.68,79.68,79.68,33554432,0.914,7165.696 7190.610 7231.173
