design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,MIXED,325.0,G1,512,512,16,480,4370,2097600,7358.683,684.0,1.5274,1.4769,0.967,343.26,80.45,110.62,168960,1.286,7399.241 7371.519 7305.289
sparse,MIXED,325.0,G2,768,768,24,1080,1942,2097360,7378.541,684.0,3.4472,3.3231,0.964,342.2,80.2,110.28,380160,0.74,7414.023 7359.585 7362.015
sparse,MIXED,325.0,G3,1024,1024,32,1920,1093,2098560,7234.106,684.0,5.9928,5.9077,0.9858,349.95,82.02,112.78,675840,3.83,7315.333 7058.327 7328.659
sparse,MIXED,325.0,G4,3072,768,24,4320,486,2099520,7398.542,684.0,13.8159,13.2923,0.9621,341.53,80.05,110.06,1520640,0.897,7390.584 7369.482 7435.559
sparse,MIXED,325.0,G5,768,3072,96,4320,486,2099520,7406.595,684.0,13.8325,13.2923,0.9609,341.12,79.95,109.93,1520640,3.723,7229.166 7498.283 7492.336
sparse,MIXED,325.0,G6,4096,1024,32,7680,274,2104320,7343.533,684.0,24.3049,23.6308,0.9723,345.14,80.89,111.23,2703360,0.51,7361.022 7345.939 7323.638
sparse,MIXED,325.0,G7,1024,4096,128,7680,274,2104320,7288.16,684.0,24.1028,23.6308,0.9804,348.03,81.57,112.16,2703360,0.789,7255.658 7312.885 7295.938
sparse,MIXED,325.0,G8,2048,2048,64,7680,274,2104320,7342.656,684.0,24.3017,23.6308,0.9724,345.19,80.9,111.24,2703360,0.892,7329.765 7316.461 7381.743
sparse,MIXED,325.0,G9,4096,4096,128,30720,69,2119680,7318.738,684.0,96.1556,94.5231,0.983,348.96,81.79,112.46,10813440,1.248,7358.469 7329.961 7267.783
sparse,MIXED,325.0,G10,8192,2048,64,30720,69,2119680,7397.657,684.0,97.2994,94.5231,0.9715,344.86,80.83,111.14,10813440,0.868,7420.420 7415.958 7356.592
sparse,MIXED,325.0,G11,2048,8192,256,30720,69,2119680,7361.503,684.0,96.7754,94.5231,0.9767,346.72,81.26,111.74,10813440,1.437,7303.678 7372.193 7408.638
