design,sparsity,clock_mhz,shape,M_rows,N_cols,nwin,beats_per_matrix,batch_R,total_beats,batched_latency_us,launch_overhead_us,latency_per_matrix_us,ideal_per_matrix_us,dsp_occupancy,GFLOPS_effective,GFLOPS_actual,bandwidth_GBs,bytes_in_per_matrix,spread_pct,runs
sparse,MIXED,300.0,G1,512,512,16,480,4370,2097600,7938.956,684.0,1.6602,1.6,0.9638,315.8,74.02,101.77,168960,0.495,7914.670 7948.345 7953.854
sparse,MIXED,300.0,G2,768,768,24,1080,1942,2097360,7914.297,684.0,3.7231,3.6,0.9669,316.84,74.26,102.11,380160,0.151,7906.734 7918.645 7917.513
sparse,MIXED,300.0,G3,1024,1024,32,1920,1093,2098560,7781.351,684.0,6.4935,6.4,0.9856,322.96,75.69,104.08,675840,2.857,7827.480 7649.006 7867.567
sparse,MIXED,300.0,G4,3072,768,24,4320,486,2099520,7847.569,684.0,14.7399,14.4,0.9769,320.12,75.03,103.17,1520640,2.63,7716.168 7907.432 7919.108
sparse,MIXED,300.0,G5,768,3072,96,4320,486,2099520,7833.056,684.0,14.71,14.4,0.9789,320.77,75.18,103.37,1520640,0.743,7821.673 7867.768 7809.728
sparse,MIXED,300.0,G6,4096,1024,32,7680,274,2104320,7894.011,684.0,26.3139,25.6,0.9729,318.79,74.72,102.74,2703360,2.248,7922.289 7967.462 7792.283
sparse,MIXED,300.0,G7,1024,4096,128,7680,274,2104320,7833.435,684.0,26.0928,25.6,0.9811,321.49,75.35,103.61,2703360,0.615,7823.935 7814.160 7862.210
sparse,MIXED,300.0,G8,2048,2048,64,7680,274,2104320,7870.099,684.0,26.2266,25.6,0.9761,319.85,74.97,103.08,2703360,0.219,7881.270 7864.064 7864.963
sparse,MIXED,300.0,G9,4096,4096,128,30720,69,2119680,7883.125,684.0,104.3351,102.4,0.9815,321.6,75.38,103.64,10813440,0.803,7875.196 7918.620 7855.559
sparse,MIXED,300.0,G10,8192,2048,64,30720,69,2119680,8005.568,684.0,106.1097,102.4,0.965,316.22,74.12,101.91,10813440,2.799,7923.386 7948.155 8145.162
sparse,MIXED,300.0,G11,2048,8192,256,30720,69,2119680,7880.891,684.0,104.3028,102.4,0.9818,321.7,75.4,103.67,10813440,1.496,7937.991 7821.019 7883.663
